"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"02.01.2015 00:30 - 02.01.2015 00:45","9501","9429"
"02.01.2015 00:45 - 02.01.2015 01:00","9398","9309"
"02.01.2015 01:00 - 02.01.2015 01:15","8994","9205"
"02.01.2015 01:15 - 02.01.2015 01:30","8886","9068"
"02.01.2015 01:30 - 02.01.2015 01:45","8726","8931"
"02.01.2015 01:45 - 02.01.2015 02:00","8596","8802"
"02.01.2015 02:00 - 02.01.2015 02:15","8489","8740"
"02.01.2015 02:15 - 02.01.2015 02:30","8412","8610"
"02.01.2015 02:30 - 02.01.2015 02:45","8335","8497"
"02.01.2015 02:45 - 02.01.2015 03:00","8272","8438"
"02.01.2015 03:00 - 02.01.2015 03:15","8208","8389"
"02.01.2015 03:15 - 02.01.2015 03:30","8161","8329"
"02.01.2015 03:30 - 02.01.2015 03:45","8126","8292"
"02.01.2015 03:45 - 02.01.2015 04:00","8134","8274"
"02.01.2015 04:00 - 02.01.2015 04:15","8152","8250"
"02.01.2015 04:15 - 02.01.2015 04:30","8186","8244"
"02.01.2015 04:30 - 02.01.2015 04:45","8211","8273"
"02.01.2015 04:45 - 02.01.2015 05:00","8308","8340"
"02.01.2015 05:00 - 02.01.2015 05:15","8418","8405"
"02.01.2015 05:15 - 02.01.2015 05:30","8551","8473"
"02.01.2015 05:30 - 02.01.2015 05:45","8657","8538"
"02.01.2015 05:45 - 02.01.2015 06:00","8927","8651"
"02.01.2015 06:00 - 02.01.2015 06:15","9224","8845"
"02.01.2015 06:15 - 02.01.2015 06:30","9523","8966"
"02.01.2015 06:30 - 02.01.2015 06:45","9682","9069"
"02.01.2015 06:45 - 02.01.2015 07:00","9971","9119"
"02.01.2015 07:00 - 02.01.2015 07:15","10259","9076"
"02.01.2015 07:15 - 02.01.2015 07:30","10569","9146"
"02.01.2015 07:30 - 02.01.2015 07:45","10751","9284"
"02.01.2015 07:45 - 02.01.2015 08:00","10936","9400"
"02.01.2015 08:00 - 02.01.2015 08:15","11114","9563"
"02.01.2015 08:15 - 02.01.2015 08:30","11244","9743"
"02.01.2015 08:30 - 02.01.2015 08:45","11329","9856"
"02.01.2015 08:45 - 02.01.2015 09:00","11170","9913"
"02.01.2015 09:00 - 02.01.2015 09:15","11010","10060"
"02.01.2015 09:15 - 02.01.2015 09:30","10868","10182"
"02.01.2015 09:30 - 02.01.2015 09:45","10930","10321"
"02.01.2015 09:45 - 02.01.2015 10:00","10813","10411"
"02.01.2015 10:00 - 02.01.2015 10:15","10674","10496"
"02.01.2015 10:15 - 02.01.2015 10:30","10519","10538"
"02.01.2015 10:30 - 02.01.2015 10:45","10535","10573"
"02.01.2015 10:45 - 02.01.2015 11:00","10548","10619"
"02.01.2015 11:00 - 02.01.2015 11:15","10575","10659"
"02.01.2015 11:15 - 02.01.2015 11:30","10611","10751"
"02.01.2015 11:30 - 02.01.2015 11:45","10657","10831"
"02.01.2015 11:45 - 02.01.2015 12:00","10659","10882"
"02.01.2015 12:00 - 02.01.2015 12:15","10632","10896"
"02.01.2015 12:15 - 02.01.2015 12:30","10593","10793"
"02.01.2015 12:30 - 02.01.2015 12:45","10577","10734"
"02.01.2015 12:45 - 02.01.2015 13:00","10565","10657"
"02.01.2015 13:00 - 02.01.2015 13:15","10533","10708"
"02.01.2015 13:15 - 02.01.2015 13:30","10502","10615"
"02.01.2015 13:30 - 02.01.2015 13:45","10465","10575"
"02.01.2015 13:45 - 02.01.2015 14:00","10423","10525"
"02.01.2015 14:00 - 02.01.2015 14:15","10376","10424"
"02.01.2015 14:15 - 02.01.2015 14:30","10331","10360"
"02.01.2015 14:30 - 02.01.2015 14:45","10303","10279"
"02.01.2015 14:45 - 02.01.2015 15:00","10269","10217"
"02.01.2015 15:00 - 02.01.2015 15:15","10240","10225"
"02.01.2015 15:15 - 02.01.2015 15:30","10215","10178"
"02.01.2015 15:30 - 02.01.2015 15:45","10205","10237"
"02.01.2015 15:45 - 02.01.2015 16:00","10234","10262"
"02.01.2015 16:00 - 02.01.2015 16:15","10266","10299"
"02.01.2015 16:15 - 02.01.2015 16:30","10317","10307"
"02.01.2015 16:30 - 02.01.2015 16:45","10407","10363"
"02.01.2015 16:45 - 02.01.2015 17:00","10621","10609"
"02.01.2015 17:00 - 02.01.2015 17:15","10843","10905"
"02.01.2015 17:15 - 02.01.2015 17:30","11014","11141"
"02.01.2015 17:30 - 02.01.2015 17:45","11070","11299"
"02.01.2015 17:45 - 02.01.2015 18:00","11124","11502"
"02.01.2015 18:00 - 02.01.2015 18:15","11142","11499"
"02.01.2015 18:15 - 02.01.2015 18:30","11117","11439"
"02.01.2015 18:30 - 02.01.2015 18:45","11032","11435"
"02.01.2015 18:45 - 02.01.2015 19:00","10924","11343"
"02.01.2015 19:00 - 02.01.2015 19:15","10805","11202"
"02.01.2015 19:15 - 02.01.2015 19:30","10675","11078"
"02.01.2015 19:30 - 02.01.2015 19:45","10550","11027"
"02.01.2015 19:45 - 02.01.2015 20:00","10394","10920"
"02.01.2015 20:00 - 02.01.2015 20:15","10233","10760"
"02.01.2015 20:15 - 02.01.2015 20:30","10079","10629"
"02.01.2015 20:30 - 02.01.2015 20:45","9974","10393"
"02.01.2015 20:45 - 02.01.2015 21:00","9841","10282"
"02.01.2015 21:00 - 02.01.2015 21:15","9714","10109"
"02.01.2015 21:15 - 02.01.2015 21:30","9580","9983"
"02.01.2015 21:30 - 02.01.2015 21:45","9506","9976"
"02.01.2015 21:45 - 02.01.2015 22:00","9511","9905"
"02.01.2015 22:00 - 02.01.2015 22:15","9625","10125"
"02.01.2015 22:15 - 02.01.2015 22:30","9783","10357"
"02.01.2015 22:30 - 02.01.2015 22:45","9890","10508"
"02.01.2015 22:45 - 02.01.2015 23:00","9960","10460"
"02.01.2015 23:00 - 02.01.2015 23:15","9969","10669"
"02.01.2015 23:15 - 02.01.2015 23:30","9926","10517"
"02.01.2015 23:30 - 02.01.2015 23:45","9801","10361"
"02.01.2015 23:45 - 03.01.2015 00:00","9810","10213"
"03.01.2015 00:00 - 03.01.2015 00:15","9481","10060"
"03.01.2015 00:15 - 03.01.2015 00:30","9530","9986"
"03.01.2015 00:30 - 03.01.2015 00:45","9378","9822"
"03.01.2015 00:45 - 03.01.2015 01:00","9277","9654"
"03.01.2015 01:00 - 03.01.2015 01:15","9689","9535"
"03.01.2015 01:15 - 03.01.2015 01:30","9531","9352"
"03.01.2015 01:30 - 03.01.2015 01:45","9441","9204"
"03.01.2015 01:45 - 03.01.2015 02:00","9295","9088"
"03.01.2015 02:00 - 03.01.2015 02:15","9317","9071"
"03.01.2015 02:15 - 03.01.2015 02:30","9167","8952"
"03.01.2015 02:30 - 03.01.2015 02:45","9049","8839"
"03.01.2015 02:45 - 03.01.2015 03:00","8995","8741"
"03.01.2015 03:00 - 03.01.2015 03:15","8907","8616"
"03.01.2015 03:15 - 03.01.2015 03:30","8867","8539"
"03.01.2015 03:30 - 03.01.2015 03:45","8814","8483"
"03.01.2015 03:45 - 03.01.2015 04:00","8791","8564"
"03.01.2015 04:00 - 03.01.2015 04:15","8739","8505"
"03.01.2015 04:15 - 03.01.2015 04:30","8712","8513"
"03.01.2015 04:30 - 03.01.2015 04:45","8686","8535"
"03.01.2015 04:45 - 03.01.2015 05:00","8692","8589"
"03.01.2015 05:00 - 03.01.2015 05:15","8619","8538"
"03.01.2015 05:15 - 03.01.2015 05:30","8633","8581"
"03.01.2015 05:30 - 03.01.2015 05:45","8683","8671"
"03.01.2015 05:45 - 03.01.2015 06:00","8724","8688"
"03.01.2015 06:00 - 03.01.2015 06:15","8765","8863"
"03.01.2015 06:15 - 03.01.2015 06:30","8827","8912"
"03.01.2015 06:30 - 03.01.2015 06:45","8920","8904"
"03.01.2015 06:45 - 03.01.2015 07:00","8960","9007"
"03.01.2015 07:00 - 03.01.2015 07:15","8876","8974"
"03.01.2015 07:15 - 03.01.2015 07:30","8965","8933"
"03.01.2015 07:30 - 03.01.2015 07:45","9097","9035"
"03.01.2015 07:45 - 03.01.2015 08:00","9243","9097"
"03.01.2015 08:00 - 03.01.2015 08:15","9421","9393"
"03.01.2015 08:15 - 03.01.2015 08:30","9581","9523"
"03.01.2015 08:30 - 03.01.2015 08:45","9662","9704"
"03.01.2015 08:45 - 03.01.2015 09:00","9735","9802"
"03.01.2015 09:00 - 03.01.2015 09:15","9969","9852"
"03.01.2015 09:15 - 03.01.2015 09:30","10096","9999"
"03.01.2015 09:30 - 03.01.2015 09:45","10163","10273"
"03.01.2015 09:45 - 03.01.2015 10:00","10302","10345"
"03.01.2015 10:00 - 03.01.2015 10:15","10370","10537"
"03.01.2015 10:15 - 03.01.2015 10:30","10416","10660"
"03.01.2015 10:30 - 03.01.2015 10:45","10449","10742"
"03.01.2015 10:45 - 03.01.2015 11:00","10461","10881"
"03.01.2015 11:00 - 03.01.2015 11:15","10635","10904"
"03.01.2015 11:15 - 03.01.2015 11:30","10700","11109"
"03.01.2015 11:30 - 03.01.2015 11:45","10747","11061"
"03.01.2015 11:45 - 03.01.2015 12:00","10818","11198"
"03.01.2015 12:00 - 03.01.2015 12:15","10847","11133"
"03.01.2015 12:15 - 03.01.2015 12:30","10780","11163"
"03.01.2015 12:30 - 03.01.2015 12:45","10819","11097"
"03.01.2015 12:45 - 03.01.2015 13:00","10756","11119"
"03.01.2015 13:00 - 03.01.2015 13:15","10751","11048"
"03.01.2015 13:15 - 03.01.2015 13:30","10670","11006"
"03.01.2015 13:30 - 03.01.2015 13:45","10637","11001"
"03.01.2015 13:45 - 03.01.2015 14:00","10606","10962"
"03.01.2015 14:00 - 03.01.2015 14:15","10511","10877"
"03.01.2015 14:15 - 03.01.2015 14:30","10455","10787"
"03.01.2015 14:30 - 03.01.2015 14:45","10432","10865"
"03.01.2015 14:45 - 03.01.2015 15:00","10428","10733"
"03.01.2015 15:00 - 03.01.2015 15:15","10423","10740"
"03.01.2015 15:15 - 03.01.2015 15:30","10426","10840"
"03.01.2015 15:30 - 03.01.2015 15:45","10448","10808"
"03.01.2015 15:45 - 03.01.2015 16:00","10438","10947"
"03.01.2015 16:00 - 03.01.2015 16:15","10425","10955"
"03.01.2015 16:15 - 03.01.2015 16:30","10474","11000"
"03.01.2015 16:30 - 03.01.2015 16:45","10538","11088"
"03.01.2015 16:45 - 03.01.2015 17:00","10794","11246"
"03.01.2015 17:00 - 03.01.2015 17:15","11213","11288"
"03.01.2015 17:15 - 03.01.2015 17:30","11326","11499"
"03.01.2015 17:30 - 03.01.2015 17:45","11400","11677"
"03.01.2015 17:45 - 03.01.2015 18:00","11480","11596"
"03.01.2015 18:00 - 03.01.2015 18:15","11655","11581"
"03.01.2015 18:15 - 03.01.2015 18:30","11631","11550"
"03.01.2015 18:30 - 03.01.2015 18:45","11533","11532"
"03.01.2015 18:45 - 03.01.2015 19:00","11457","11348"
