"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"29.03.2015 18:45 - 29.03.2015 19:00","9880","9994"
"29.03.2015 19:00 - 29.03.2015 19:15","10211","10154"
"29.03.2015 19:15 - 29.03.2015 19:30","10392","10277"
"29.03.2015 19:30 - 29.03.2015 19:45","10557","10338"
"29.03.2015 19:45 - 29.03.2015 20:00","10691","10444"
"29.03.2015 20:00 - 29.03.2015 20:15","10048","10464"
"29.03.2015 20:15 - 29.03.2015 20:30","10190","10661"
"29.03.2015 20:30 - 29.03.2015 20:45","10376","10572"
"29.03.2015 20:45 - 29.03.2015 21:00","10637","10400"
"29.03.2015 21:00 - 29.03.2015 21:15","9852","10370"
"29.03.2015 21:15 - 29.03.2015 21:30","9947","10439"
"29.03.2015 21:30 - 29.03.2015 21:45","9980","10356"
"29.03.2015 21:45 - 29.03.2015 22:00","9934","10327"
"29.03.2015 22:00 - 29.03.2015 22:15","10104","10226"
"29.03.2015 22:15 - 29.03.2015 22:30","9985","10070"
"29.03.2015 22:30 - 29.03.2015 22:45","9924","10012"
"29.03.2015 22:45 - 29.03.2015 23:00","9802","9944"
"29.03.2015 23:00 - 29.03.2015 23:15","10029","10105"
"29.03.2015 23:15 - 29.03.2015 23:30","9935","10147"
"29.03.2015 23:30 - 29.03.2015 23:45","9804","9980"
"29.03.2015 23:45 - 30.03.2015 00:00","9728","9784"
"30.03.2015 00:00 - 30.03.2015 00:15","9106","9664"
"30.03.2015 00:15 - 30.03.2015 00:30","9230","9533"
"30.03.2015 00:30 - 30.03.2015 00:45","9302","9461"
"30.03.2015 00:45 - 30.03.2015 01:00","9255","9342"
"30.03.2015 01:00 - 30.03.2015 01:15","8978","9149"
"30.03.2015 01:15 - 30.03.2015 01:30","8875","8994"
"30.03.2015 01:30 - 30.03.2015 01:45","8748","8939"
"30.03.2015 01:45 - 30.03.2015 02:00","8636","8919"
"30.03.2015 02:00 - 30.03.2015 02:15","8708","8832"
"30.03.2015 02:15 - 30.03.2015 02:30","8564","8896"
"30.03.2015 02:30 - 30.03.2015 02:45","8537","8747"
"30.03.2015 02:45 - 30.03.2015 03:00","8397","8660"
"30.03.2015 03:00 - 30.03.2015 03:15","8511","8632"
"30.03.2015 03:15 - 30.03.2015 03:30","8429","8645"
"30.03.2015 03:30 - 30.03.2015 03:45","8452","8613"
"30.03.2015 03:45 - 30.03.2015 04:00","8348","8665"
"30.03.2015 04:00 - 30.03.2015 04:15","8494","8726"
"30.03.2015 04:15 - 30.03.2015 04:30","8423","8692"
"30.03.2015 04:30 - 30.03.2015 04:45","8339","8711"
"30.03.2015 04:45 - 30.03.2015 05:00","8329","8927"
"30.03.2015 05:00 - 30.03.2015 05:15","9008","9127"
"30.03.2015 05:15 - 30.03.2015 05:30","9043","9360"
"30.03.2015 05:30 - 30.03.2015 05:45","9148","9344"
"30.03.2015 05:45 - 30.03.2015 06:00","9165","9682"
"30.03.2015 06:00 - 30.03.2015 06:15","9970","10053"
"30.03.2015 06:15 - 30.03.2015 06:30","10178","10386"
"30.03.2015 06:30 - 30.03.2015 06:45","10359","10562"
"30.03.2015 06:45 - 30.03.2015 07:00","10694","10963"
"30.03.2015 07:00 - 30.03.2015 07:15","10638","11184"
"30.03.2015 07:15 - 30.03.2015 07:30","10905","11220"
"30.03.2015 07:30 - 30.03.2015 07:45","11197","11284"
"30.03.2015 07:45 - 30.03.2015 08:00","11383","11272"
"30.03.2015 08:00 - 30.03.2015 08:15","11139","11368"
"30.03.2015 08:15 - 30.03.2015 08:30","11237","11503"
"30.03.2015 08:30 - 30.03.2015 08:45","11359","11679"
"30.03.2015 08:45 - 30.03.2015 09:00","11432","11730"
"30.03.2015 09:00 - 30.03.2015 09:15","11403","11758"
"30.03.2015 09:15 - 30.03.2015 09:30","11503","11839"
"30.03.2015 09:30 - 30.03.2015 09:45","11611","11929"
"30.03.2015 09:45 - 30.03.2015 10:00","11660","11897"
"30.03.2015 10:00 - 30.03.2015 10:15","11631","11760"
"30.03.2015 10:15 - 30.03.2015 10:30","11672","11797"
"30.03.2015 10:30 - 30.03.2015 10:45","11712","11888"
"30.03.2015 10:45 - 30.03.2015 11:00","11742","12002"
"30.03.2015 11:00 - 30.03.2015 11:15","11614","12071"
"30.03.2015 11:15 - 30.03.2015 11:30","11604","12095"
"30.03.2015 11:30 - 30.03.2015 11:45","11640","12150"
"30.03.2015 11:45 - 30.03.2015 12:00","11595","12238"
"30.03.2015 12:00 - 30.03.2015 12:15","11360","11962"
"30.03.2015 12:15 - 30.03.2015 12:30","11355","11910"
"30.03.2015 12:30 - 30.03.2015 12:45","11446","11838"
"30.03.2015 12:45 - 30.03.2015 13:00","11380","11762"
"30.03.2015 13:00 - 30.03.2015 13:15","11477","11791"
"30.03.2015 13:15 - 30.03.2015 13:30","11332","11779"
"30.03.2015 13:30 - 30.03.2015 13:45","11357","11718"
"30.03.2015 13:45 - 30.03.2015 14:00","11348","11718"
"30.03.2015 14:00 - 30.03.2015 14:15","11306","11577"
"30.03.2015 14:15 - 30.03.2015 14:30","11275","11578"
"30.03.2015 14:30 - 30.03.2015 14:45","11223","11520"
"30.03.2015 14:45 - 30.03.2015 15:00","11153","11475"
"30.03.2015 15:00 - 30.03.2015 15:15","11201","11602"
"30.03.2015 15:15 - 30.03.2015 15:30","11160","11561"
"30.03.2015 15:30 - 30.03.2015 15:45","11117","11489"
"30.03.2015 15:45 - 30.03.2015 16:00","11161","11555"
"30.03.2015 16:00 - 30.03.2015 16:15","11060","11478"
"30.03.2015 16:15 - 30.03.2015 16:30","11058","11378"
"30.03.2015 16:30 - 30.03.2015 16:45","11015","11284"
"30.03.2015 16:45 - 30.03.2015 17:00","10982","11312"
"30.03.2015 17:00 - 30.03.2015 17:15","11221","11324"
"30.03.2015 17:15 - 30.03.2015 17:30","11232","11462"
"30.03.2015 17:30 - 30.03.2015 17:45","11158","11481"
"30.03.2015 17:45 - 30.03.2015 18:00","11267","11595"
"30.03.2015 18:00 - 30.03.2015 18:15","11060","11505"
"30.03.2015 18:15 - 30.03.2015 18:30","11193","11448"
"30.03.2015 18:30 - 30.03.2015 18:45","11252","11552"
"30.03.2015 18:45 - 30.03.2015 19:00","11375","11464"
"30.03.2015 19:00 - 30.03.2015 19:15","11384","11437"
"30.03.2015 19:15 - 30.03.2015 19:30","11460","11369"
"30.03.2015 19:30 - 30.03.2015 19:45","11536","11313"
"30.03.2015 19:45 - 30.03.2015 20:00","11670","11459"
"30.03.2015 20:00 - 30.03.2015 20:15","11726","11549"
"30.03.2015 20:15 - 30.03.2015 20:30","11852","11683"
"30.03.2015 20:30 - 30.03.2015 20:45","11841","11606"
"30.03.2015 20:45 - 30.03.2015 21:00","11787","11423"
"30.03.2015 21:00 - 30.03.2015 21:15","12241","11293"
"30.03.2015 21:15 - 30.03.2015 21:30","11963","11223"
"30.03.2015 21:30 - 30.03.2015 21:45","11791","11086"
"30.03.2015 21:45 - 30.03.2015 22:00","11597","10935"
"30.03.2015 22:00 - 30.03.2015 22:15","10909","11094"
"30.03.2015 22:15 - 30.03.2015 22:30","10858","11285"
"30.03.2015 22:30 - 30.03.2015 22:45","10689","11274"
"30.03.2015 22:45 - 30.03.2015 23:00","10571","11216"
"30.03.2015 23:00 - 30.03.2015 23:15","10731","11346"
"30.03.2015 23:15 - 30.03.2015 23:30","10853","11267"
"30.03.2015 23:30 - 30.03.2015 23:45","10958","11076"
"30.03.2015 23:45 - 31.03.2015 00:00","10885","10762"
"31.03.2015 00:00 - 31.03.2015 00:15","10269","10601"
"31.03.2015 00:15 - 31.03.2015 00:30","10134","10451"
"31.03.2015 00:30 - 31.03.2015 00:45","10013","10223"
"31.03.2015 00:45 - 31.03.2015 01:00","9855","10026"
"31.03.2015 01:00 - 31.03.2015 01:15","9504","9876"
"31.03.2015 01:15 - 31.03.2015 01:30","9376","9716"
"31.03.2015 01:30 - 31.03.2015 01:45","9289","9620"
"31.03.2015 01:45 - 31.03.2015 02:00","9144","9426"
"31.03.2015 02:00 - 31.03.2015 02:15","9183","9272"
"31.03.2015 02:15 - 31.03.2015 02:30","9002","9359"
"31.03.2015 02:30 - 31.03.2015 02:45","8951","9280"
"31.03.2015 02:45 - 31.03.2015 03:00","8811","9130"
"31.03.2015 03:00 - 31.03.2015 03:15","9020","9120"
"31.03.2015 03:15 - 31.03.2015 03:30","8984","9018"
"31.03.2015 03:30 - 31.03.2015 03:45","8896","9030"
"31.03.2015 03:45 - 31.03.2015 04:00","8878","9051"
"31.03.2015 04:00 - 31.03.2015 04:15","9235","9176"
"31.03.2015 04:15 - 31.03.2015 04:30","9212","9217"
"31.03.2015 04:30 - 31.03.2015 04:45","9188","9187"
"31.03.2015 04:45 - 31.03.2015 05:00","9241","9253"
"31.03.2015 05:00 - 31.03.2015 05:15","9671","9552"
"31.03.2015 05:15 - 31.03.2015 05:30","9739","9618"
"31.03.2015 05:30 - 31.03.2015 05:45","9777","9682"
"31.03.2015 05:45 - 31.03.2015 06:00","9849","9853"
"31.03.2015 06:00 - 31.03.2015 06:15","10500","10272"
"31.03.2015 06:15 - 31.03.2015 06:30","10644","10583"
"31.03.2015 06:30 - 31.03.2015 06:45","10810","10844"
"31.03.2015 06:45 - 31.03.2015 07:00","11067","11168"
"31.03.2015 07:00 - 31.03.2015 07:15","11065","11350"
"31.03.2015 07:15 - 31.03.2015 07:30","11355","11420"
"31.03.2015 07:30 - 31.03.2015 07:45","11578","11353"
"31.03.2015 07:45 - 31.03.2015 08:00","11757","11305"
"31.03.2015 08:00 - 31.03.2015 08:15","11411","11462"
"31.03.2015 08:15 - 31.03.2015 08:30","11559","11558"
"31.03.2015 08:30 - 31.03.2015 08:45","11719","11706"
"31.03.2015 08:45 - 31.03.2015 09:00","11804","11705"
"31.03.2015 09:00 - 31.03.2015 09:15","11542","11808"
"31.03.2015 09:15 - 31.03.2015 09:30","11627","11900"
"31.03.2015 09:30 - 31.03.2015 09:45","11694","11992"
"31.03.2015 09:45 - 31.03.2015 10:00","11742","11992"
"31.03.2015 10:00 - 31.03.2015 10:15","11521","12011"
"31.03.2015 10:15 - 31.03.2015 10:30","11550","12047"
"31.03.2015 10:30 - 31.03.2015 10:45","11564","12064"
"31.03.2015 10:45 - 31.03.2015 11:00","11588","12098"
"31.03.2015 11:00 - 31.03.2015 11:15","11595","12052"
"31.03.2015 11:15 - 31.03.2015 11:30","11579","12226"
"31.03.2015 11:30 - 31.03.2015 11:45","11607","12181"
"31.03.2015 11:45 - 31.03.2015 12:00","11627","12215"
"31.03.2015 12:00 - 31.03.2015 12:15","11548","12093"
"31.03.2015 12:15 - 31.03.2015 12:30","11603","11932"
"31.03.2015 12:30 - 31.03.2015 12:45","11664","11918"
"31.03.2015 12:45 - 31.03.2015 13:00","11654","11989"
"31.03.2015 13:00 - 31.03.2015 13:15","11478","11956"
"31.03.2015 13:15 - 31.03.2015 13:30","11359","11926"
"31.03.2015 13:30 - 31.03.2015 13:45","11344","11936"
"31.03.2015 13:45 - 31.03.2015 14:00","11357","11824"
"31.03.2015 14:00 - 31.03.2015 14:15","11416","11747"
"31.03.2015 14:15 - 31.03.2015 14:30","11392","11671"
"31.03.2015 14:30 - 31.03.2015 14:45","11428","11487"
"31.03.2015 14:45 - 31.03.2015 15:00","11351","11407"
"31.03.2015 15:00 - 31.03.2015 15:15","11356","11516"
"31.03.2015 15:15 - 31.03.2015 15:30","11345","11427"
"31.03.2015 15:30 - 31.03.2015 15:45","11324","11315"
"31.03.2015 15:45 - 31.03.2015 16:00","11295","11324"
"31.03.2015 16:00 - 31.03.2015 16:15","11351","11256"
"31.03.2015 16:15 - 31.03.2015 16:30","11311","11228"
"31.03.2015 16:30 - 31.03.2015 16:45","11263","11225"
"31.03.2015 16:45 - 31.03.2015 17:00","11226","11155"
"31.03.2015 17:00 - 31.03.2015 17:15","11523","11103"
"31.03.2015 17:15 - 31.03.2015 17:30","11514","11189"
"31.03.2015 17:30 - 31.03.2015 17:45","11463","11280"
"31.03.2015 17:45 - 31.03.2015 18:00","11493","11349"
"31.03.2015 18:00 - 31.03.2015 18:15","11385","11258"
"31.03.2015 18:15 - 31.03.2015 18:30","11434","11168"
"31.03.2015 18:30 - 31.03.2015 18:45","11559","11265"
"31.03.2015 18:45 - 31.03.2015 19:00","11615","11306"
"31.03.2015 19:00 - 31.03.2015 19:15","11632","11262"
"31.03.2015 19:15 - 31.03.2015 19:30","11657","11193"
"31.03.2015 19:30 - 31.03.2015 19:45","11688","11176"
"31.03.2015 19:45 - 31.03.2015 20:00","11743","11265"
"31.03.2015 20:00 - 31.03.2015 20:15","11836","11253"
"31.03.2015 20:15 - 31.03.2015 20:30","11911","11393"
"31.03.2015 20:30 - 31.03.2015 20:45","11885","11539"
"31.03.2015 20:45 - 31.03.2015 21:00","11841","11395"
"31.03.2015 21:00 - 31.03.2015 21:15","11649","11229"
"31.03.2015 21:15 - 31.03.2015 21:30","11474","11124"
"31.03.2015 21:30 - 31.03.2015 21:45","11312","11064"
"31.03.2015 21:45 - 31.03.2015 22:00","11145","10944"
"31.03.2015 22:00 - 31.03.2015 22:15","11004","10888"
"31.03.2015 22:15 - 31.03.2015 22:30","10916","11086"
"31.03.2015 22:30 - 31.03.2015 22:45","10763","11241"
"31.03.2015 22:45 - 31.03.2015 23:00","10601","11182"
"31.03.2015 23:00 - 31.03.2015 23:15","10688","11230"
"31.03.2015 23:15 - 31.03.2015 23:30","10859","11115"
"31.03.2015 23:30 - 31.03.2015 23:45","10905","10940"
"31.03.2015 23:45 - 01.04.2015 00:00","10855","10700"
"01.04.2015 00:00 - 01.04.2015 00:15","10274","10424"
"01.04.2015 00:15 - 01.04.2015 00:30","10127","10200"
"01.04.2015 00:30 - 01.04.2015 00:45","9941","10067"
"01.04.2015 00:45 - 01.04.2015 01:00","9789","9876"
"01.04.2015 01:00 - 01.04.2015 01:15","9422","9780"
"01.04.2015 01:15 - 01.04.2015 01:30","9243","9644"
"01.04.2015 01:30 - 01.04.2015 01:45","9130","9642"
"01.04.2015 01:45 - 01.04.2015 02:00","8974","9457"
"01.04.2015 02:00 - 01.04.2015 02:15","9081","9464"
"01.04.2015 02:15 - 01.04.2015 02:30","8904","9389"
"01.04.2015 02:30 - 01.04.2015 02:45","8856","9263"
"01.04.2015 02:45 - 01.04.2015 03:00","8715","9240"
"01.04.2015 03:00 - 01.04.2015 03:15","8943","9241"
"01.04.2015 03:15 - 01.04.2015 03:30","8909","9192"
"01.04.2015 03:30 - 01.04.2015 03:45","8824","9187"
"01.04.2015 03:45 - 01.04.2015 04:00","8807","9156"
"01.04.2015 04:00 - 01.04.2015 04:15","9168","9266"
"01.04.2015 04:15 - 01.04.2015 04:30","9143","9236"
"01.04.2015 04:30 - 01.04.2015 04:45","9122","9284"
"01.04.2015 04:45 - 01.04.2015 05:00","9172","9396"
"01.04.2015 05:00 - 01.04.2015 05:15","9725","9477"
"01.04.2015 05:15 - 01.04.2015 05:30","9790","9620"
"01.04.2015 05:30 - 01.04.2015 05:45","9830","9710"
"01.04.2015 05:45 - 01.04.2015 06:00","9908","9965"
"01.04.2015 06:00 - 01.04.2015 06:15","10604","10324"
"01.04.2015 06:15 - 01.04.2015 06:30","10748","10576"
"01.04.2015 06:30 - 01.04.2015 06:45","10917","10840"
"01.04.2015 06:45 - 01.04.2015 07:00","11179","11054"
"01.04.2015 07:00 - 01.04.2015 07:15","11141","11216"
"01.04.2015 07:15 - 01.04.2015 07:30","11433","11260"
"01.04.2015 07:30 - 01.04.2015 07:45","11657","11333"
"01.04.2015 07:45 - 01.04.2015 08:00","11841","11458"
"01.04.2015 08:00 - 01.04.2015 08:15","11587","11558"
"01.04.2015 08:15 - 01.04.2015 08:30","11734","11629"
"01.04.2015 08:30 - 01.04.2015 08:45","11890","11714"
"01.04.2015 08:45 - 01.04.2015 09:00","11977","11797"
"01.04.2015 09:00 - 01.04.2015 09:15","11856","11857"
"01.04.2015 09:15 - 01.04.2015 09:30","11940","11889"
"01.04.2015 09:30 - 01.04.2015 09:45","12004","11990"
"01.04.2015 09:45 - 01.04.2015 10:00","12054","11978"
"01.04.2015 10:00 - 01.04.2015 10:15","12061","11989"
"01.04.2015 10:15 - 01.04.2015 10:30","12092","11956"
"01.04.2015 10:30 - 01.04.2015 10:45","12104","11982"
"01.04.2015 10:45 - 01.04.2015 11:00","12130","11986"
"01.04.2015 11:00 - 01.04.2015 11:15","12092","12028"
"01.04.2015 11:15 - 01.04.2015 11:30","12077","12136"
"01.04.2015 11:30 - 01.04.2015 11:45","12105","12110"
"01.04.2015 11:45 - 01.04.2015 12:00","12127","12110"
"01.04.2015 12:00 - 01.04.2015 12:15","12029","11951"
"01.04.2015 12:15 - 01.04.2015 12:30","12086","11820"
"01.04.2015 12:30 - 01.04.2015 12:45","12150","11785"
"01.04.2015 12:45 - 01.04.2015 13:00","12140","11705"
"01.04.2015 13:00 - 01.04.2015 13:15","11993","11712"
"01.04.2015 13:15 - 01.04.2015 13:30","11872","11584"
"01.04.2015 13:30 - 01.04.2015 13:45","11858","11490"
"01.04.2015 13:45 - 01.04.2015 14:00","11871","11365"
"01.04.2015 14:00 - 01.04.2015 14:15","11820","11371"
"01.04.2015 14:15 - 01.04.2015 14:30","11792","11320"
"01.04.2015 14:30 - 01.04.2015 14:45","11833","11417"
"01.04.2015 14:45 - 01.04.2015 15:00","11752","11312"
"01.04.2015 15:00 - 01.04.2015 15:15","11671","11428"
"01.04.2015 15:15 - 01.04.2015 15:30","11659","11424"
"01.04.2015 15:30 - 01.04.2015 15:45","11640","11298"
"01.04.2015 15:45 - 01.04.2015 16:00","11609","11280"
"01.04.2015 16:00 - 01.04.2015 16:15","11595","11270"
"01.04.2015 16:15 - 01.04.2015 16:30","11554","11296"
"01.04.2015 16:30 - 01.04.2015 16:45","11506","11221"
"01.04.2015 16:45 - 01.04.2015 17:00","11465","11291"
"01.04.2015 17:00 - 01.04.2015 17:15","11591","11163"
"01.04.2015 17:15 - 01.04.2015 17:30","11580","11211"
"01.04.2015 17:30 - 01.04.2015 17:45","11525","11248"
"01.04.2015 17:45 - 01.04.2015 18:00","11557","11280"
"01.04.2015 18:00 - 01.04.2015 18:15","11448","11155"
"01.04.2015 18:15 - 01.04.2015 18:30","11500","11166"
"01.04.2015 18:30 - 01.04.2015 18:45","11624","11042"
"01.04.2015 18:45 - 01.04.2015 19:00","11681","10996"
"01.04.2015 19:00 - 01.04.2015 19:15","11621","10900"
"01.04.2015 19:15 - 01.04.2015 19:30","11643","10902"
"01.04.2015 19:30 - 01.04.2015 19:45","11672","10891"
"01.04.2015 19:45 - 01.04.2015 20:00","11726","10995"
"01.04.2015 20:00 - 01.04.2015 20:15","11812","11028"
"01.04.2015 20:15 - 01.04.2015 20:30","11888","11111"
"01.04.2015 20:30 - 01.04.2015 20:45","11859","11392"
"01.04.2015 20:45 - 01.04.2015 21:00","11816","11321"
"01.04.2015 21:00 - 01.04.2015 21:15","11682","11264"
"01.04.2015 21:15 - 01.04.2015 21:30","11514","11134"
"01.04.2015 21:30 - 01.04.2015 21:45","11355","10882"
"01.04.2015 21:45 - 01.04.2015 22:00","11189","10781"
"01.04.2015 22:00 - 01.04.2015 22:15","11145","10968"
"01.04.2015 22:15 - 01.04.2015 22:30","11055","11161"
"01.04.2015 22:30 - 01.04.2015 22:45","10900","11187"
"01.04.2015 22:45 - 01.04.2015 23:00","10737","11076"
"01.04.2015 23:00 - 01.04.2015 23:15","10846","11188"
"01.04.2015 23:15 - 01.04.2015 23:30","11023","10999"
"01.04.2015 23:30 - 01.04.2015 23:45","11071","10821"
"01.04.2015 23:45 - 02.04.2015 00:00","11023","10587"
"02.04.2015 00:00 - 02.04.2015 00:15","10461","10502"
"02.04.2015 00:15 - 02.04.2015 00:30","10292","10326"
"02.04.2015 00:30 - 02.04.2015 00:45","10117","10102"
"02.04.2015 00:45 - 02.04.2015 01:00","9952","9954"
"02.04.2015 01:00 - 02.04.2015 01:15","9632","9835"
"02.04.2015 01:15 - 02.04.2015 01:30","9460","9699"
"02.04.2015 01:30 - 02.04.2015 01:45","9368","9597"
"02.04.2015 01:45 - 02.04.2015 02:00","9208","9519"
"02.04.2015 02:00 - 02.04.2015 02:15","9248","9377"
"02.04.2015 02:15 - 02.04.2015 02:30","9117","9323"
"02.04.2015 02:30 - 02.04.2015 02:45","9065","9246"
"02.04.2015 02:45 - 02.04.2015 03:00","8919","9204"
"02.04.2015 03:00 - 02.04.2015 03:15","9121","9103"
"02.04.2015 03:15 - 02.04.2015 03:30","9074","9170"
"02.04.2015 03:30 - 02.04.2015 03:45","9007","9195"
"02.04.2015 03:45 - 02.04.2015 04:00","8999","9281"
"02.04.2015 04:00 - 02.04.2015 04:15","9421","9323"
"02.04.2015 04:15 - 02.04.2015 04:30","9402","9350"
"02.04.2015 04:30 - 02.04.2015 04:45","9383","9407"
"02.04.2015 04:45 - 02.04.2015 05:00","9440","9541"
"02.04.2015 05:00 - 02.04.2015 05:15","9803","9761"
"02.04.2015 05:15 - 02.04.2015 05:30","9879","9855"
"02.04.2015 05:30 - 02.04.2015 05:45","9925","9945"
"02.04.2015 05:45 - 02.04.2015 06:00","10011","10135"
"02.04.2015 06:00 - 02.04.2015 06:15","10660","10576"
"02.04.2015 06:15 - 02.04.2015 06:30","10830","10798"
"02.04.2015 06:30 - 02.04.2015 06:45","11029","11131"
"02.04.2015 06:45 - 02.04.2015 07:00","11299","11329"
"02.04.2015 07:00 - 02.04.2015 07:15","11223","11419"
"02.04.2015 07:15 - 02.04.2015 07:30","11470","11498"
"02.04.2015 07:30 - 02.04.2015 07:45","11643","11572"
"02.04.2015 07:45 - 02.04.2015 08:00","11792","11663"
"02.04.2015 08:00 - 02.04.2015 08:15","11569","11620"
"02.04.2015 08:15 - 02.04.2015 08:30","11709","11699"
"02.04.2015 08:30 - 02.04.2015 08:45","11870","11788"
"02.04.2015 08:45 - 02.04.2015 09:00","11949","11931"
"02.04.2015 09:00 - 02.04.2015 09:15","11871","12027"
"02.04.2015 09:15 - 02.04.2015 09:30","11964","12050"
"02.04.2015 09:30 - 02.04.2015 09:45","12037","12093"
"02.04.2015 09:45 - 02.04.2015 10:00","12081","12149"
"02.04.2015 10:00 - 02.04.2015 10:15","11981","12185"
"02.04.2015 10:15 - 02.04.2015 10:30","12019","12065"
"02.04.2015 10:30 - 02.04.2015 10:45","12039","12062"
"02.04.2015 10:45 - 02.04.2015 11:00","12076","12039"
"02.04.2015 11:00 - 02.04.2015 11:15","12062","11979"
"02.04.2015 11:15 - 02.04.2015 11:30","12082","12028"
"02.04.2015 11:30 - 02.04.2015 11:45","12103","12136"
"02.04.2015 11:45 - 02.04.2015 12:00","12119","12132"
"02.04.2015 12:00 - 02.04.2015 12:15","12072","12015"
"02.04.2015 12:15 - 02.04.2015 12:30","12088","11927"
"02.04.2015 12:30 - 02.04.2015 12:45","12140","11885"
"02.04.2015 12:45 - 02.04.2015 13:00","12150","11829"
"02.04.2015 13:00 - 02.04.2015 13:15","11972","11891"
"02.04.2015 13:15 - 02.04.2015 13:30","11867","11816"
"02.04.2015 13:30 - 02.04.2015 13:45","11852","11828"
"02.04.2015 13:45 - 02.04.2015 14:00","11838","11738"
"02.04.2015 14:00 - 02.04.2015 14:15","11803","11699"
"02.04.2015 14:15 - 02.04.2015 14:30","11761","11672"
"02.04.2015 14:30 - 02.04.2015 14:45","11753","11669"
"02.04.2015 14:45 - 02.04.2015 15:00","11664","11662"
"02.04.2015 15:00 - 02.04.2015 15:15","11722","11647"
"02.04.2015 15:15 - 02.04.2015 15:30","11697","11576"
"02.04.2015 15:30 - 02.04.2015 15:45","11662","11443"
"02.04.2015 15:45 - 02.04.2015 16:00","11639","11437"
"02.04.2015 16:00 - 02.04.2015 16:15","11652","11375"
"02.04.2015 16:15 - 02.04.2015 16:30","11618","11476"
"02.04.2015 16:30 - 02.04.2015 16:45","11583","11348"
"02.04.2015 16:45 - 02.04.2015 17:00","11548","11366"
"02.04.2015 17:00 - 02.04.2015 17:15","11734","11282"
"02.04.2015 17:15 - 02.04.2015 17:30","11737","11378"
"02.04.2015 17:30 - 02.04.2015 17:45","11700","11400"
"02.04.2015 17:45 - 02.04.2015 18:00","11739","11434"
"02.04.2015 18:00 - 02.04.2015 18:15","11634","11355"
"02.04.2015 18:15 - 02.04.2015 18:30","11680","11380"
"02.04.2015 18:30 - 02.04.2015 18:45","11776","11384"
"02.04.2015 18:45 - 02.04.2015 19:00","11820","11343"
"02.04.2015 19:00 - 02.04.2015 19:15","11771","11182"
"02.04.2015 19:15 - 02.04.2015 19:30","11768","11224"
"02.04.2015 19:30 - 02.04.2015 19:45","11780","11158"
"02.04.2015 19:45 - 02.04.2015 20:00","11838","11217"
"02.04.2015 20:00 - 02.04.2015 20:15","11766","11258"
"02.04.2015 20:15 - 02.04.2015 20:30","11847","11283"
"02.04.2015 20:30 - 02.04.2015 20:45","11849","11514"
"02.04.2015 20:45 - 02.04.2015 21:00","11786","11615"
"02.04.2015 21:00 - 02.04.2015 21:15","11527","11433"
"02.04.2015 21:15 - 02.04.2015 21:30","11372","11381"
"02.04.2015 21:30 - 02.04.2015 21:45","11237","11267"
"02.04.2015 21:45 - 02.04.2015 22:00","11088","11128"
"02.04.2015 22:00 - 02.04.2015 22:15","10950","11137"
"02.04.2015 22:15 - 02.04.2015 22:30","10911","11394"
"02.04.2015 22:30 - 02.04.2015 22:45","10820","11435"
"02.04.2015 22:45 - 02.04.2015 23:00","10685","11524"
"02.04.2015 23:00 - 02.04.2015 23:15","10859","11618"
"02.04.2015 23:15 - 02.04.2015 23:30","10985","11352"
"02.04.2015 23:30 - 02.04.2015 23:45","10992","11284"
"02.04.2015 23:45 - 03.04.2015 00:00","10909","11105"
"03.04.2015 00:00 - 03.04.2015 00:15","10110","10916"
"03.04.2015 00:15 - 03.04.2015 00:30","9926","10691"
"03.04.2015 00:30 - 03.04.2015 00:45","9752","10492"
"03.04.2015 00:45 - 03.04.2015 01:00","9605","10380"
"03.04.2015 01:00 - 03.04.2015 01:15","9335","10280"
"03.04.2015 01:15 - 03.04.2015 01:30","9174","10060"
"03.04.2015 01:30 - 03.04.2015 01:45","9089","10057"
"03.04.2015 01:45 - 03.04.2015 02:00","8943","9936"
"03.04.2015 02:00 - 03.04.2015 02:15","9076","9769"
"03.04.2015 02:15 - 03.04.2015 02:30","8958","9671"
"03.04.2015 02:30 - 03.04.2015 02:45","8893","9677"
"03.04.2015 02:45 - 03.04.2015 03:00","8758","9593"
"03.04.2015 03:00 - 03.04.2015 03:15","9026","9615"
"03.04.2015 03:15 - 03.04.2015 03:30","8980","9666"
"03.04.2015 03:30 - 03.04.2015 03:45","8926","9559"
"03.04.2015 03:45 - 03.04.2015 04:00","8905","9584"
"03.04.2015 04:00 - 03.04.2015 04:15","9278","9561"
"03.04.2015 04:15 - 03.04.2015 04:30","9257","9491"
"03.04.2015 04:30 - 03.04.2015 04:45","9255","9536"
"03.04.2015 04:45 - 03.04.2015 05:00","9262","9596"
"03.04.2015 05:00 - 03.04.2015 05:15","9817","9804"
"03.04.2015 05:15 - 03.04.2015 05:30","9881","9886"
"03.04.2015 05:30 - 03.04.2015 05:45","9940","10091"
"03.04.2015 05:45 - 03.04.2015 06:00","10018","10117"
"03.04.2015 06:00 - 03.04.2015 06:15","10524","10539"
"03.04.2015 06:15 - 03.04.2015 06:30","10716","10930"
"03.04.2015 06:30 - 03.04.2015 06:45","10918","11221"
"03.04.2015 06:45 - 03.04.2015 07:00","11180","11411"
"03.04.2015 07:00 - 03.04.2015 07:15","11110","11468"
"03.04.2015 07:15 - 03.04.2015 07:30","11313","11543"
