"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"02.01.2015 00:30 - 02.01.2015 00:45","9589","8889"
"02.01.2015 00:45 - 02.01.2015 01:00","9379","8731"
"02.01.2015 01:00 - 02.01.2015 01:15","9197","8517"
"02.01.2015 01:15 - 02.01.2015 01:30","9057","8351"
"02.01.2015 01:30 - 02.01.2015 01:45","8929","8208"
"02.01.2015 01:45 - 02.01.2015 02:00","8814","8135"
"02.01.2015 02:00 - 02.01.2015 02:15","8726","8052"
"02.01.2015 02:15 - 02.01.2015 02:30","8651","7900"
"02.01.2015 02:30 - 02.01.2015 02:45","8591","7801"
"02.01.2015 02:45 - 02.01.2015 03:00","8544","7751"
"02.01.2015 03:00 - 02.01.2015 03:15","8526","7713"
"02.01.2015 03:15 - 02.01.2015 03:30","8493","7717"
"02.01.2015 03:30 - 02.01.2015 03:45","8455","7698"
"02.01.2015 03:45 - 02.01.2015 04:00","8431","7673"
"02.01.2015 04:00 - 02.01.2015 04:15","8451","7648"
"02.01.2015 04:15 - 02.01.2015 04:30","8470","7728"
"02.01.2015 04:30 - 02.01.2015 04:45","8511","7845"
"02.01.2015 04:45 - 02.01.2015 05:00","8563","7865"
"02.01.2015 05:00 - 02.01.2015 05:15","8665","7961"
"02.01.2015 05:15 - 02.01.2015 05:30","8768","8170"
"02.01.2015 05:30 - 02.01.2015 05:45","8919","8398"
"02.01.2015 05:45 - 02.01.2015 06:00","9121","8489"
"02.01.2015 06:00 - 02.01.2015 06:15","9476","8742"
"02.01.2015 06:15 - 02.01.2015 06:30","9807","9200"
"02.01.2015 06:30 - 02.01.2015 06:45","10152","9638"
"02.01.2015 06:45 - 02.01.2015 07:00","10529","9843"
"02.01.2015 07:00 - 02.01.2015 07:15","11075","10284"
"02.01.2015 07:15 - 02.01.2015 07:30","11574","10815"
"02.01.2015 07:30 - 02.01.2015 07:45","12061","11251"
"02.01.2015 07:45 - 02.01.2015 08:00","12481","11611"
"02.01.2015 08:00 - 02.01.2015 08:15","12831","11934"
"02.01.2015 08:15 - 02.01.2015 08:30","13122","12355"
"02.01.2015 08:30 - 02.01.2015 08:45","13302","12681"
"02.01.2015 08:45 - 02.01.2015 09:00","13488","12863"
"02.01.2015 09:00 - 02.01.2015 09:15","13708","13019"
"02.01.2015 09:15 - 02.01.2015 09:30","13855","13343"
"02.01.2015 09:30 - 02.01.2015 09:45","13951","13607"
"02.01.2015 09:45 - 02.01.2015 10:00","14082","13813"
"02.01.2015 10:00 - 02.01.2015 10:15","14174","13973"
"02.01.2015 10:15 - 02.01.2015 10:30","14209","14079"
"02.01.2015 10:30 - 02.01.2015 10:45","14253","14081"
"02.01.2015 10:45 - 02.01.2015 11:00","14292","14020"
"02.01.2015 11:00 - 02.01.2015 11:15","14313","14022"
"02.01.2015 11:15 - 02.01.2015 11:30","14313","14057"
"02.01.2015 11:30 - 02.01.2015 11:45","14313","14007"
"02.01.2015 11:45 - 02.01.2015 12:00","14313","14000"
"02.01.2015 12:00 - 02.01.2015 12:15","14243","13945"
"02.01.2015 12:15 - 02.01.2015 12:30","14193","13863"
"02.01.2015 12:30 - 02.01.2015 12:45","14074","13742"
"02.01.2015 12:45 - 02.01.2015 13:00","14007","13701"
"02.01.2015 13:00 - 02.01.2015 13:15","13988","13634"
"02.01.2015 13:15 - 02.01.2015 13:30","13997","13651"
"02.01.2015 13:30 - 02.01.2015 13:45","13951","13527"
"02.01.2015 13:45 - 02.01.2015 14:00","13911","13452"
"02.01.2015 14:00 - 02.01.2015 14:15","13846","13480"
"02.01.2015 14:15 - 02.01.2015 14:30","13816","13555"
"02.01.2015 14:30 - 02.01.2015 14:45","13745","13561"
"02.01.2015 14:45 - 02.01.2015 15:00","13696","13573"
"02.01.2015 15:00 - 02.01.2015 15:15","13623","13690"
"02.01.2015 15:15 - 02.01.2015 15:30","13620","13952"
"02.01.2015 15:30 - 02.01.2015 15:45","13635","13940"
"02.01.2015 15:45 - 02.01.2015 16:00","13671","14015"
"02.01.2015 16:00 - 02.01.2015 16:15","13713","14013"
"02.01.2015 16:15 - 02.01.2015 16:30","13899","13970"
"02.01.2015 16:30 - 02.01.2015 16:45","14166","14242"
"02.01.2015 16:45 - 02.01.2015 17:00","14624","14501"
"02.01.2015 17:00 - 02.01.2015 17:15","14835","14804"
"02.01.2015 17:15 - 02.01.2015 17:30","15008","14993"
"02.01.2015 17:30 - 02.01.2015 17:45","15055","15307"
"02.01.2015 17:45 - 02.01.2015 18:00","15014","15241"
"02.01.2015 18:00 - 02.01.2015 18:15","14772","14716"
"02.01.2015 18:15 - 02.01.2015 18:30","14591","14283"
"02.01.2015 18:30 - 02.01.2015 18:45","14426","14189"
"02.01.2015 18:45 - 02.01.2015 19:00","14299","14176"
"02.01.2015 19:00 - 02.01.2015 19:15","14119","14118"
"02.01.2015 19:15 - 02.01.2015 19:30","13955","13877"
"02.01.2015 19:30 - 02.01.2015 19:45","13769","13776"
"02.01.2015 19:45 - 02.01.2015 20:00","13649","13845"
"02.01.2015 20:00 - 02.01.2015 20:15","13429","13705"
"02.01.2015 20:15 - 02.01.2015 20:30","13252","13525"
"02.01.2015 20:30 - 02.01.2015 20:45","13063","13323"
"02.01.2015 20:45 - 02.01.2015 21:00","12874","13059"
"02.01.2015 21:00 - 02.01.2015 21:15","12664","12991"
"02.01.2015 21:15 - 02.01.2015 21:30","12437","12873"
"02.01.2015 21:30 - 02.01.2015 21:45","12204","12503"
"02.01.2015 21:45 - 02.01.2015 22:00","12015","12161"
"02.01.2015 22:00 - 02.01.2015 22:15","11786","12080"
"02.01.2015 22:15 - 02.01.2015 22:30","11566","11789"
"02.01.2015 22:30 - 02.01.2015 22:45","11340","11599"
"02.01.2015 22:45 - 02.01.2015 23:00","11129","11413"
"02.01.2015 23:00 - 02.01.2015 23:15","10953","11254"
"02.01.2015 23:15 - 02.01.2015 23:30","10748","11302"
"02.01.2015 23:30 - 02.01.2015 23:45","10479","11198"
"02.01.2015 23:45 - 03.01.2015 00:00","10237","10964"
"03.01.2015 00:00 - 03.01.2015 00:15","9991","10940"
"03.01.2015 00:15 - 03.01.2015 00:30","9795","10969"
"03.01.2015 00:30 - 03.01.2015 00:45","9570","10860"
"03.01.2015 00:45 - 03.01.2015 01:00","9349","10705"
"03.01.2015 01:00 - 03.01.2015 01:15","9147","10587"
"03.01.2015 01:15 - 03.01.2015 01:30","8990","10583"
"03.01.2015 01:30 - 03.01.2015 01:45","8844","10460"
"03.01.2015 01:45 - 03.01.2015 02:00","8722","10372"
"03.01.2015 02:00 - 03.01.2015 02:15","8620","10276"
"03.01.2015 02:15 - 03.01.2015 02:30","8535","10203"
"03.01.2015 02:30 - 03.01.2015 02:45","8464","10196"
"03.01.2015 02:45 - 03.01.2015 03:00","8398","10178"
"03.01.2015 03:00 - 03.01.2015 03:15","8371","10171"
"03.01.2015 03:15 - 03.01.2015 03:30","8332","10091"
"03.01.2015 03:30 - 03.01.2015 03:45","8288","10003"
"03.01.2015 03:45 - 03.01.2015 04:00","8255","9921"
"03.01.2015 04:00 - 03.01.2015 04:15","8264","9804"
"03.01.2015 04:15 - 03.01.2015 04:30","8270","9807"
"03.01.2015 04:30 - 03.01.2015 04:45","8288","9854"
"03.01.2015 04:45 - 03.01.2015 05:00","8308","9896"
"03.01.2015 05:00 - 03.01.2015 05:15","8366","9985"
"03.01.2015 05:15 - 03.01.2015 05:30","8418","10126"
"03.01.2015 05:30 - 03.01.2015 05:45","8495","10184"
"03.01.2015 05:45 - 03.01.2015 06:00","8582","10254"
"03.01.2015 06:00 - 03.01.2015 06:15","8768","10324"
"03.01.2015 06:15 - 03.01.2015 06:30","8926","10385"
"03.01.2015 06:30 - 03.01.2015 06:45","9095","10499"
"03.01.2015 06:45 - 03.01.2015 07:00","9296","10645"
"03.01.2015 07:00 - 03.01.2015 07:15","9585","10759"
"03.01.2015 07:15 - 03.01.2015 07:30","9845","10932"
"03.01.2015 07:30 - 03.01.2015 07:45","10129","11107"
"03.01.2015 07:45 - 03.01.2015 08:00","10433","11290"
"03.01.2015 08:00 - 03.01.2015 08:15","10796","11446"
"03.01.2015 08:15 - 03.01.2015 08:30","11120","11690"
"03.01.2015 08:30 - 03.01.2015 08:45","11333","12159"
"03.01.2015 08:45 - 03.01.2015 09:00","11603","12377"
"03.01.2015 09:00 - 03.01.2015 09:15","11934","12561"
"03.01.2015 09:15 - 03.01.2015 09:30","12208","12917"
"03.01.2015 09:30 - 03.01.2015 09:45","12455","13241"
"03.01.2015 09:45 - 03.01.2015 10:00","12659","13203"
"03.01.2015 10:00 - 03.01.2015 10:15","12824","13250"
"03.01.2015 10:15 - 03.01.2015 10:30","12920","13526"
"03.01.2015 10:30 - 03.01.2015 10:45","12997","13837"
"03.01.2015 10:45 - 03.01.2015 11:00","13057","14070"
"03.01.2015 11:00 - 03.01.2015 11:15","13118","14198"
"03.01.2015 11:15 - 03.01.2015 11:30","13162","14352"
"03.01.2015 11:30 - 03.01.2015 11:45","13187","14553"
"03.01.2015 11:45 - 03.01.2015 12:00","13206","14731"
"03.01.2015 12:00 - 03.01.2015 12:15","13196","14788"
"03.01.2015 12:15 - 03.01.2015 12:30","13184","14792"
"03.01.2015 12:30 - 03.01.2015 12:45","13145","14865"
"03.01.2015 12:45 - 03.01.2015 13:00","13099","14839"
"03.01.2015 13:00 - 03.01.2015 13:15","13042","14788"
"03.01.2015 13:15 - 03.01.2015 13:30","13004","14803"
"03.01.2015 13:30 - 03.01.2015 13:45","12959","14887"
"03.01.2015 13:45 - 03.01.2015 14:00","12922","14944"
"03.01.2015 14:00 - 03.01.2015 14:15","12867","15013"
"03.01.2015 14:15 - 03.01.2015 14:30","12831","15068"
"03.01.2015 14:30 - 03.01.2015 14:45","12793","15133"
"03.01.2015 14:45 - 03.01.2015 15:00","12774","15191"
"03.01.2015 15:00 - 03.01.2015 15:15","12740","15280"
"03.01.2015 15:15 - 03.01.2015 15:30","12731","15388"
"03.01.2015 15:30 - 03.01.2015 15:45","12758","15524"
"03.01.2015 15:45 - 03.01.2015 16:00","12822","15638"
"03.01.2015 16:00 - 03.01.2015 16:15","12910","15617"
"03.01.2015 16:15 - 03.01.2015 16:30","13111","15563"
"03.01.2015 16:30 - 03.01.2015 16:45","13454","15751"
"03.01.2015 16:45 - 03.01.2015 17:00","13930","15982"
"03.01.2015 17:00 - 03.01.2015 17:15","14079","16124"
"03.01.2015 17:15 - 03.01.2015 17:30","14195","16060"
"03.01.2015 17:30 - 03.01.2015 17:45","14282","16148"
"03.01.2015 17:45 - 03.01.2015 18:00","14282","16175"
"03.01.2015 18:00 - 03.01.2015 18:15","14110","16038"
"03.01.2015 18:15 - 03.01.2015 18:30","13970","15765"
"03.01.2015 18:30 - 03.01.2015 18:45","13823","15514"
"03.01.2015 18:45 - 03.01.2015 19:00","13710","15336"
"03.01.2015 19:00 - 03.01.2015 19:15","13576","15247"
"03.01.2015 19:15 - 03.01.2015 19:30","13439","14946"
"03.01.2015 19:30 - 03.01.2015 19:45","13285","14598"
"03.01.2015 19:45 - 03.01.2015 20:00","13167","14411"
"03.01.2015 20:00 - 03.01.2015 20:15","12975","14343"
"03.01.2015 20:15 - 03.01.2015 20:30","12819","14165"
"03.01.2015 20:30 - 03.01.2015 20:45","12563","13818"
"03.01.2015 20:45 - 03.01.2015 21:00","12352","13508"
"03.01.2015 21:00 - 03.01.2015 21:15","12131","13492"
"03.01.2015 21:15 - 03.01.2015 21:30","11944","13530"
"03.01.2015 21:30 - 03.01.2015 21:45","11757","13182"
"03.01.2015 21:45 - 03.01.2015 22:00","11597","12828"
"03.01.2015 22:00 - 03.01.2015 22:15","11439","12785"
"03.01.2015 22:15 - 03.01.2015 22:30","11290","12567"
"03.01.2015 22:30 - 03.01.2015 22:45","11096","12279"
"03.01.2015 22:45 - 03.01.2015 23:00","10898","12089"
"03.01.2015 23:00 - 03.01.2015 23:15","10648","11909"
"03.01.2015 23:15 - 03.01.2015 23:30","10438","11742"
"03.01.2015 23:30 - 03.01.2015 23:45","10196","11497"
