"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"13.02.2015 15:00 - 13.02.2015 15:15","16722","13602"
"13.02.2015 15:15 - 13.02.2015 15:30","16672","13620"
"13.02.2015 15:30 - 13.02.2015 15:45","16648","13638"
"13.02.2015 15:45 - 13.02.2015 16:00","16679","13684"
"13.02.2015 16:00 - 13.02.2015 16:15","16685","13693"
"13.02.2015 16:15 - 13.02.2015 16:30","16603","13732"
"13.02.2015 16:30 - 13.02.2015 16:45","16531","13796"
"13.02.2015 16:45 - 13.02.2015 17:00","16647","13894"
"13.02.2015 17:00 - 13.02.2015 17:15","16756","13917"
"13.02.2015 17:15 - 13.02.2015 17:30","16811","14114"
"13.02.2015 17:30 - 13.02.2015 17:45","17003","14284"
"13.02.2015 17:45 - 13.02.2015 18:00","17281","14552"
"13.02.2015 18:00 - 13.02.2015 18:15","17199","14758"
"13.02.2015 18:15 - 13.02.2015 18:30","16825","14824"
"13.02.2015 18:30 - 13.02.2015 18:45","16586","14751"
"13.02.2015 18:45 - 13.02.2015 19:00","16350","14640"
"13.02.2015 19:00 - 13.02.2015 19:15","16192","14471"
"13.02.2015 19:15 - 13.02.2015 19:30","16088","14335"
"13.02.2015 19:30 - 13.02.2015 19:45","15759","14186"
"13.02.2015 19:45 - 13.02.2015 20:00","15538","14095"
"13.02.2015 20:00 - 13.02.2015 20:15","15581","13857"
"13.02.2015 20:15 - 13.02.2015 20:30","15343","13609"
"13.02.2015 20:30 - 13.02.2015 20:45","15010","13323"
"13.02.2015 20:45 - 13.02.2015 21:00","14822","13088"
"13.02.2015 21:00 - 13.02.2015 21:15","14516","12777"
"13.02.2015 21:15 - 13.02.2015 21:30","14225","12507"
"13.02.2015 21:30 - 13.02.2015 21:45","13949","12246"
"13.02.2015 21:45 - 13.02.2015 22:00","13578","11963"
"13.02.2015 22:00 - 13.02.2015 22:15","13241","11642"
"13.02.2015 22:15 - 13.02.2015 22:30","13192","11431"
"13.02.2015 22:30 - 13.02.2015 22:45","12982","11189"
"13.02.2015 22:45 - 13.02.2015 23:00","12732","10955"
"13.02.2015 23:00 - 13.02.2015 23:15","12626","10783"
"13.02.2015 23:15 - 13.02.2015 23:30","12654","10581"
"13.02.2015 23:30 - 13.02.2015 23:45","12471","10343"
"13.02.2015 23:45 - 14.02.2015 00:00","12211","10083"
"14.02.2015 00:00 - 14.02.2015 00:15","12769","9655"
"14.02.2015 00:15 - 14.02.2015 00:30","12754","9474"
"14.02.2015 00:30 - 14.02.2015 00:45","12611","9290"
"14.02.2015 00:45 - 14.02.2015 01:00","12404","9091"
"14.02.2015 01:00 - 14.02.2015 01:15","12144","8937"
"14.02.2015 01:15 - 14.02.2015 01:30","11928","8811"
"14.02.2015 01:30 - 14.02.2015 01:45","11703","8645"
"14.02.2015 01:45 - 14.02.2015 02:00","11514","8523"
"14.02.2015 02:00 - 14.02.2015 02:15","11357","8436"
"14.02.2015 02:15 - 14.02.2015 02:30","11287","8346"
"14.02.2015 02:30 - 14.02.2015 02:45","11213","8280"
"14.02.2015 02:45 - 14.02.2015 03:00","11177","8215"
"14.02.2015 03:00 - 14.02.2015 03:15","11137","8180"
"14.02.2015 03:15 - 14.02.2015 03:30","11103","8147"
"14.02.2015 03:30 - 14.02.2015 03:45","11050","8111"
"14.02.2015 03:45 - 14.02.2015 04:00","11053","8077"
"14.02.2015 04:00 - 14.02.2015 04:15","11073","8086"
"14.02.2015 04:15 - 14.02.2015 04:30","11123","8074"
"14.02.2015 04:30 - 14.02.2015 04:45","11133","8080"
"14.02.2015 04:45 - 14.02.2015 05:00","11108","8075"
"14.02.2015 05:00 - 14.02.2015 05:15","11157","8097"
"14.02.2015 05:15 - 14.02.2015 05:30","11240","8128"
"14.02.2015 05:30 - 14.02.2015 05:45","11336","8177"
"14.02.2015 05:45 - 14.02.2015 06:00","11454","8268"
"14.02.2015 06:00 - 14.02.2015 06:15","11626","8492"
"14.02.2015 06:15 - 14.02.2015 06:30","11770","8633"
"14.02.2015 06:30 - 14.02.2015 06:45","11976","8816"
"14.02.2015 06:45 - 14.02.2015 07:00","12136","9037"
"14.02.2015 07:00 - 14.02.2015 07:15","12282","9331"
"14.02.2015 07:15 - 14.02.2015 07:30","12474","9606"
"14.02.2015 07:30 - 14.02.2015 07:45","12897","9896"
"14.02.2015 07:45 - 14.02.2015 08:00","13175","10023"
"14.02.2015 08:00 - 14.02.2015 08:15","13398","10290"
"14.02.2015 08:15 - 14.02.2015 08:30","13556","10563"
"14.02.2015 08:30 - 14.02.2015 08:45","13826","10852"
"14.02.2015 08:45 - 14.02.2015 09:00","14083","11183"
"14.02.2015 09:00 - 14.02.2015 09:15","14413","11518"
"14.02.2015 09:15 - 14.02.2015 09:30","14699","11752"
"14.02.2015 09:30 - 14.02.2015 09:45","14991","11948"
"14.02.2015 09:45 - 14.02.2015 10:00","15170","12097"
"14.02.2015 10:00 - 14.02.2015 10:15","15094","12211"
"14.02.2015 10:15 - 14.02.2015 10:30","15162","12239"
"14.02.2015 10:30 - 14.02.2015 10:45","15166","12268"
"14.02.2015 10:45 - 14.02.2015 11:00","15132","12314"
"14.02.2015 11:00 - 14.02.2015 11:15","15294","12303"
"14.02.2015 11:15 - 14.02.2015 11:30","12903","12310"
"14.02.2015 11:30 - 14.02.2015 11:45","15125","12308"
"14.02.2015 11:45 - 14.02.2015 12:00","15307","12303"
"14.02.2015 12:00 - 14.02.2015 12:15","15294","12240"
"14.02.2015 12:15 - 14.02.2015 12:30","15234","12138"
"14.02.2015 12:30 - 14.02.2015 12:45","15032","12037"
"14.02.2015 12:45 - 14.02.2015 13:00","14908","11984"
"14.02.2015 13:00 - 14.02.2015 13:15","14774","11898"
"14.02.2015 13:15 - 14.02.2015 13:30","14752","11836"
"14.02.2015 13:30 - 14.02.2015 13:45","14597","11739"
"14.02.2015 13:45 - 14.02.2015 14:00","14505","11648"
"14.02.2015 14:00 - 14.02.2015 14:15","14416","11565"
"14.02.2015 14:15 - 14.02.2015 14:30","14570","11473"
"14.02.2015 14:30 - 14.02.2015 14:45","14632","11373"
"14.02.2015 14:45 - 14.02.2015 15:00","14534","11346"
"14.02.2015 15:00 - 14.02.2015 15:15","14510","11306"
"14.02.2015 15:15 - 14.02.2015 15:30","14472","11278"
"14.02.2015 15:30 - 14.02.2015 15:45","14459","11284"
"14.02.2015 15:45 - 14.02.2015 16:00","14488","11294"
"14.02.2015 16:00 - 14.02.2015 16:15","14570","11275"
"14.02.2015 16:15 - 14.02.2015 16:30","14576","11338"
"14.02.2015 16:30 - 14.02.2015 16:45","14496","11440"
"14.02.2015 16:45 - 14.02.2015 17:00","14646","11572"
"14.02.2015 17:00 - 14.02.2015 17:15","14808","11636"
"14.02.2015 17:15 - 14.02.2015 17:30","14589","11804"
"14.02.2015 17:30 - 14.02.2015 17:45","15211","12032"
"14.02.2015 17:45 - 14.02.2015 18:00","15557","12373"
"14.02.2015 18:00 - 14.02.2015 18:15","15693","12673"
"14.02.2015 18:15 - 14.02.2015 18:30","15416","12912"
"14.02.2015 18:30 - 14.02.2015 18:45","15093","12861"
"14.02.2015 18:45 - 14.02.2015 19:00","15062","12772"
"14.02.2015 19:00 - 14.02.2015 19:15","14921","12632"
"14.02.2015 19:15 - 14.02.2015 19:30","14688","12533"
"14.02.2015 19:30 - 14.02.2015 19:45","14568","12392"
"14.02.2015 19:45 - 14.02.2015 20:00","14438","12271"
"14.02.2015 20:00 - 14.02.2015 20:15","14329","12088"
"14.02.2015 20:15 - 14.02.2015 20:30","14187","11931"
"14.02.2015 20:30 - 14.02.2015 20:45","13986","11700"
"14.02.2015 20:45 - 14.02.2015 21:00","13760","11486"
"14.02.2015 21:00 - 14.02.2015 21:15","13598","11298"
"14.02.2015 21:15 - 14.02.2015 21:30","13447","11125"
"14.02.2015 21:30 - 14.02.2015 21:45","13265","10943"
"14.02.2015 21:45 - 14.02.2015 22:00","13041","10779"
"14.02.2015 22:00 - 14.02.2015 22:15","12866","10608"
"14.02.2015 22:15 - 14.02.2015 22:30","12709","10458"
"14.02.2015 22:30 - 14.02.2015 22:45","12569","10283"
"14.02.2015 22:45 - 14.02.2015 23:00","12424","10109"
"14.02.2015 23:00 - 14.02.2015 23:15","12202","9875"
"14.02.2015 23:15 - 14.02.2015 23:30","12174","9686"
"14.02.2015 23:30 - 14.02.2015 23:45","11970","9479"
"14.02.2015 23:45 - 15.02.2015 00:00","11665","9274"
"15.02.2015 00:00 - 15.02.2015 00:15","11518","9072"
"15.02.2015 00:15 - 15.02.2015 00:30","11604","8925"
"15.02.2015 00:30 - 15.02.2015 00:45","11577","8755"
"15.02.2015 00:45 - 15.02.2015 01:00","11392","8581"
"15.02.2015 01:00 - 15.02.2015 01:15","11236","8448"
"15.02.2015 01:15 - 15.02.2015 01:30","11128","8303"
"15.02.2015 01:30 - 15.02.2015 01:45","10920","8176"
"15.02.2015 01:45 - 15.02.2015 02:00","10768","8081"
"15.02.2015 02:00 - 15.02.2015 02:15","10619","8001"
"15.02.2015 02:15 - 15.02.2015 02:30","10577","7932"
"15.02.2015 02:30 - 15.02.2015 02:45","10534","7856"
"15.02.2015 02:45 - 15.02.2015 03:00","10464","7794"
"15.02.2015 03:00 - 15.02.2015 03:15","10424","7766"
"15.02.2015 03:15 - 15.02.2015 03:30","10407","7729"
"15.02.2015 03:30 - 15.02.2015 03:45","10342","7701"
"15.02.2015 03:45 - 15.02.2015 04:00","10329","7672"
"15.02.2015 04:00 - 15.02.2015 04:15","10278","7675"
"15.02.2015 04:15 - 15.02.2015 04:30","10252","7680"
"15.02.2015 04:30 - 15.02.2015 04:45","10173","7670"
"15.02.2015 04:45 - 15.02.2015 05:00","10171","7669"
"15.02.2015 05:00 - 15.02.2015 05:15","10140","7691"
"15.02.2015 05:15 - 15.02.2015 05:30","10144","7699"
"15.02.2015 05:30 - 15.02.2015 05:45","10195","7740"
"15.02.2015 05:45 - 15.02.2015 06:00","10221","7785"
"15.02.2015 06:00 - 15.02.2015 06:15","10288","7886"
"15.02.2015 06:15 - 15.02.2015 06:30","10415","7991"
"15.02.2015 06:30 - 15.02.2015 06:45","10551","8079"
"15.02.2015 06:45 - 15.02.2015 07:00","10637","8194"
"15.02.2015 07:00 - 15.02.2015 07:15","10732","8375"
"15.02.2015 07:15 - 15.02.2015 07:30","10780","8542"
"15.02.2015 07:30 - 15.02.2015 07:45","10936","8697"
"15.02.2015 07:45 - 15.02.2015 08:00","11131","8723"
"15.02.2015 08:00 - 15.02.2015 08:15","11262","8909"
"15.02.2015 08:15 - 15.02.2015 08:30","11327","9126"
"15.02.2015 08:30 - 15.02.2015 08:45","11563","9339"
"15.02.2015 08:45 - 15.02.2015 09:00","11813","9527"
"15.02.2015 09:00 - 15.02.2015 09:15","11969","9753"
"15.02.2015 09:15 - 15.02.2015 09:30","11871","9920"
"15.02.2015 09:30 - 15.02.2015 09:45","12403","10048"
"15.02.2015 09:45 - 15.02.2015 10:00","12583","10163"
"15.02.2015 10:00 - 15.02.2015 10:15","12688","10250"
"15.02.2015 10:15 - 15.02.2015 10:30","12742","10294"
"15.02.2015 10:30 - 15.02.2015 10:45","13070","10331"
"15.02.2015 10:45 - 15.02.2015 11:00","13250","10348"
"15.02.2015 11:00 - 15.02.2015 11:15","13382","10377"
"15.02.2015 11:15 - 15.02.2015 11:30","13427","10399"
"15.02.2015 11:30 - 15.02.2015 11:45","13502","10420"
"15.02.2015 11:45 - 15.02.2015 12:00","13586","10454"
"15.02.2015 12:00 - 15.02.2015 12:15","12149","10490"
"15.02.2015 12:15 - 15.02.2015 12:30","13776","10472"
"15.02.2015 12:30 - 15.02.2015 12:45","13780","10407"
"15.02.2015 12:45 - 15.02.2015 13:00","13551","10349"
"15.02.2015 13:00 - 15.02.2015 13:15","13015","10278"
"15.02.2015 13:15 - 15.02.2015 13:30","13556","10219"
"15.02.2015 13:30 - 15.02.2015 13:45","12227","10128"
"15.02.2015 13:45 - 15.02.2015 14:00","13134","10064"
"15.02.2015 14:00 - 15.02.2015 14:15","12463","9943"
"15.02.2015 14:15 - 15.02.2015 14:30","13745","9871"
"15.02.2015 14:30 - 15.02.2015 14:45","12701","9812"
"15.02.2015 14:45 - 15.02.2015 15:00","13763","9788"
"15.02.2015 15:00 - 15.02.2015 15:15","12836","9775"
"15.02.2015 15:15 - 15.02.2015 15:30","13867","9776"
"15.02.2015 15:30 - 15.02.2015 15:45","13941","9823"
"15.02.2015 15:45 - 15.02.2015 16:00","13616","9909"
"15.02.2015 16:00 - 15.02.2015 16:15","13439","10021"
"15.02.2015 16:15 - 15.02.2015 16:30","13998","10143"
"15.02.2015 16:30 - 15.02.2015 16:45","13789","10325"
"15.02.2015 16:45 - 15.02.2015 17:00","14225","10528"
"15.02.2015 17:00 - 15.02.2015 17:15","14000","10749"
"15.02.2015 17:15 - 15.02.2015 17:30","14178","11053"
"15.02.2015 17:30 - 15.02.2015 17:45","14595","11381"
"15.02.2015 17:45 - 15.02.2015 18:00","15070","11778"
"15.02.2015 18:00 - 15.02.2015 18:15","15327","12200"
"15.02.2015 18:15 - 15.02.2015 18:30","14947","12550"
"15.02.2015 18:30 - 15.02.2015 18:45","14793","12620"
"15.02.2015 18:45 - 15.02.2015 19:00","14728","12626"
"15.02.2015 19:00 - 15.02.2015 19:15","14749","12531"
"15.02.2015 19:15 - 15.02.2015 19:30","14538","12452"
"15.02.2015 19:30 - 15.02.2015 19:45","14327","12378"
"15.02.2015 19:45 - 15.02.2015 20:00","14169","12375"
"15.02.2015 20:00 - 15.02.2015 20:15","13869","12249"
"15.02.2015 20:15 - 15.02.2015 20:30","14150","12115"
"15.02.2015 20:30 - 15.02.2015 20:45","13858","11801"
"15.02.2015 20:45 - 15.02.2015 21:00","13516","11586"
"15.02.2015 21:00 - 15.02.2015 21:15","13253","11381"
"15.02.2015 21:15 - 15.02.2015 21:30","13264","11313"
"15.02.2015 21:30 - 15.02.2015 21:45","13116","11156"
"15.02.2015 21:45 - 15.02.2015 22:00","12900","10985"
"15.02.2015 22:00 - 15.02.2015 22:15","12770","10760"
"15.02.2015 22:15 - 15.02.2015 22:30","12712","10600"
"15.02.2015 22:30 - 15.02.2015 22:45","12472","10362"
"15.02.2015 22:45 - 15.02.2015 23:00","12172","10116"
"15.02.2015 23:00 - 15.02.2015 23:15","12036","9811"
"15.02.2015 23:15 - 15.02.2015 23:30","12095","9554"
"15.02.2015 23:30 - 15.02.2015 23:45","11872","9328"
"15.02.2015 23:45 - 16.02.2015 00:00","11637","9118"
"16.02.2015 00:00 - 16.02.2015 00:15","11372","9178"
"16.02.2015 00:15 - 16.02.2015 00:30","11374","9060"
"16.02.2015 00:30 - 16.02.2015 00:45","11294","8874"
"16.02.2015 00:45 - 16.02.2015 01:00","11172","8754"
"16.02.2015 01:00 - 16.02.2015 01:15","11061","8644"
"16.02.2015 01:15 - 16.02.2015 01:30","11013","8615"
"16.02.2015 01:30 - 16.02.2015 01:45","10937","8544"
"16.02.2015 01:45 - 16.02.2015 02:00","10909","8479"
"16.02.2015 02:00 - 16.02.2015 02:15","10888","8440"
"16.02.2015 02:15 - 16.02.2015 02:30","10865","8415"
"16.02.2015 02:30 - 16.02.2015 02:45","10832","8398"
"16.02.2015 02:45 - 16.02.2015 03:00","10809","8374"
"16.02.2015 03:00 - 16.02.2015 03:15","10773","8372"
"16.02.2015 03:15 - 16.02.2015 03:30","10755","8343"
"16.02.2015 03:30 - 16.02.2015 03:45","10663","8349"
"16.02.2015 03:45 - 16.02.2015 04:00","10612","8350"
"16.02.2015 04:00 - 16.02.2015 04:15","10709","8404"
"16.02.2015 04:15 - 16.02.2015 04:30","10770","8417"
"16.02.2015 04:30 - 16.02.2015 04:45","10770","8490"
"16.02.2015 04:45 - 16.02.2015 05:00","10787","8553"
"16.02.2015 05:00 - 16.02.2015 05:15","10954","8677"
"16.02.2015 05:15 - 16.02.2015 05:30","11097","8822"
"16.02.2015 05:30 - 16.02.2015 05:45","11401","9045"
"16.02.2015 05:45 - 16.02.2015 06:00","11683","9281"
"16.02.2015 06:00 - 16.02.2015 06:15","12064","9743"
"16.02.2015 06:15 - 16.02.2015 06:30","12445","10183"
"16.02.2015 06:30 - 16.02.2015 06:45","13133","10626"
"16.02.2015 06:45 - 16.02.2015 07:00","13524","11171"
"16.02.2015 07:00 - 16.02.2015 07:15","13965","11924"
"16.02.2015 07:15 - 16.02.2015 07:30","14464","12499"
"16.02.2015 07:30 - 16.02.2015 07:45","15624","12921"
"16.02.2015 07:45 - 16.02.2015 08:00","16134","13222"
"16.02.2015 08:00 - 16.02.2015 08:15","16701","13485"
"16.02.2015 08:15 - 16.02.2015 08:30","16946","13690"
"16.02.2015 08:30 - 16.02.2015 08:45","17242","13916"
"16.02.2015 08:45 - 16.02.2015 09:00","17356","14073"
"16.02.2015 09:00 - 16.02.2015 09:15","17553","14232"
"16.02.2015 09:15 - 16.02.2015 09:30","17785","14312"
"16.02.2015 09:30 - 16.02.2015 09:45","17902","14302"
"16.02.2015 09:45 - 16.02.2015 10:00","17953","14311"
"16.02.2015 10:00 - 16.02.2015 10:15","18042","14290"
"16.02.2015 10:15 - 16.02.2015 10:30","18076","14232"
"16.02.2015 10:30 - 16.02.2015 10:45","17988","14213"
"16.02.2015 10:45 - 16.02.2015 11:00","17936","14149"
"16.02.2015 11:00 - 16.02.2015 11:15","18030","14112"
"16.02.2015 11:15 - 16.02.2015 11:30","18081","14050"
"16.02.2015 11:30 - 16.02.2015 11:45","18118","14031"
"16.02.2015 11:45 - 16.02.2015 12:00","17891","13999"
"16.02.2015 12:00 - 16.02.2015 12:15","18024","13900"
"16.02.2015 12:15 - 16.02.2015 12:30","18034","13800"
"16.02.2015 12:30 - 16.02.2015 12:45","17839","13634"
"16.02.2015 12:45 - 16.02.2015 13:00","17623","13557"
"16.02.2015 13:00 - 16.02.2015 13:15","17778","13615"
"16.02.2015 13:15 - 16.02.2015 13:30","17746","13648"
"16.02.2015 13:30 - 16.02.2015 13:45","17602","13593"
"16.02.2015 13:45 - 16.02.2015 14:00","17849","13538"
"16.02.2015 14:00 - 16.02.2015 14:15","17835","13460"
"16.02.2015 14:15 - 16.02.2015 14:30","17751","13434"
"16.02.2015 14:30 - 16.02.2015 14:45","17648","13386"
"16.02.2015 14:45 - 16.02.2015 15:00","17580","13379"
"16.02.2015 15:00 - 16.02.2015 15:15","17543","13327"
"16.02.2015 15:15 - 16.02.2015 15:30","17481","13342"
"16.02.2015 15:30 - 16.02.2015 15:45","17469","13459"
"16.02.2015 15:45 - 16.02.2015 16:00","17509","13540"
"16.02.2015 16:00 - 16.02.2015 16:15","17516","13587"
"16.02.2015 16:15 - 16.02.2015 16:30","17469","13663"
"16.02.2015 16:30 - 16.02.2015 16:45","17471","13727"
"16.02.2015 16:45 - 16.02.2015 17:00","17439","13867"
"16.02.2015 17:00 - 16.02.2015 17:15","17448","13910"
"16.02.2015 17:15 - 16.02.2015 17:30","17332","14065"
"16.02.2015 17:30 - 16.02.2015 17:45","17647","14214"
"16.02.2015 17:45 - 16.02.2015 18:00","17905","14414"
"16.02.2015 18:00 - 16.02.2015 18:15","17921","14521"
"16.02.2015 18:15 - 16.02.2015 18:30","17566","14702"
"16.02.2015 18:30 - 16.02.2015 18:45","17329","14752"
"16.02.2015 18:45 - 16.02.2015 19:00","17256","14739"
"16.02.2015 19:00 - 16.02.2015 19:15","17175","14619"
"16.02.2015 19:15 - 16.02.2015 19:30","17067","14488"
"16.02.2015 19:30 - 16.02.2015 19:45","16914","14312"
"16.02.2015 19:45 - 16.02.2015 20:00","16733","14215"
"16.02.2015 20:00 - 16.02.2015 20:15","16613","13976"
"16.02.2015 20:15 - 16.02.2015 20:30","16517","13699"
"16.02.2015 20:30 - 16.02.2015 20:45","16254","13430"
"16.02.2015 20:45 - 16.02.2015 21:00","15992","13235"
"16.02.2015 21:00 - 16.02.2015 21:15","15647","12976"
"16.02.2015 21:15 - 16.02.2015 21:30","15427","12770"
"16.02.2015 21:30 - 16.02.2015 21:45","15055","12479"
"16.02.2015 21:45 - 16.02.2015 22:00","14809","12209"
"16.02.2015 22:00 - 16.02.2015 22:15","14528","11930"
"16.02.2015 22:15 - 16.02.2015 22:30","14297","11665"
"16.02.2015 22:30 - 16.02.2015 22:45","13997","11329"
"16.02.2015 22:45 - 16.02.2015 23:00","13731","11042"
"16.02.2015 23:00 - 16.02.2015 23:15","13416","10820"
"16.02.2015 23:15 - 16.02.2015 23:30","13323","10593"
"16.02.2015 23:30 - 16.02.2015 23:45","12995","10315"
"16.02.2015 23:45 - 17.02.2015 00:00","12734","10077"
"17.02.2015 00:00 - 17.02.2015 00:15","11930","9637"
"17.02.2015 00:15 - 17.02.2015 00:30","11812","9472"
"17.02.2015 00:30 - 17.02.2015 00:45","11640","9285"
"17.02.2015 00:45 - 17.02.2015 01:00","11458","9141"
"17.02.2015 01:00 - 17.02.2015 01:15","11288","8998"
"17.02.2015 01:15 - 17.02.2015 01:30","11184","8885"
"17.02.2015 01:30 - 17.02.2015 01:45","11078","8760"
"17.02.2015 01:45 - 17.02.2015 02:00","10953","8691"
"17.02.2015 02:00 - 17.02.2015 02:15","10855","8625"
"17.02.2015 02:15 - 17.02.2015 02:30","10803","8567"
"17.02.2015 02:30 - 17.02.2015 02:45","10761","8516"
"17.02.2015 02:45 - 17.02.2015 03:00","10709","8479"
"17.02.2015 03:00 - 17.02.2015 03:15","10704","8474"
"17.02.2015 03:15 - 17.02.2015 03:30","10671","8447"
"17.02.2015 03:30 - 17.02.2015 03:45","10658","8422"
"17.02.2015 03:45 - 17.02.2015 04:00","10651","8429"
"17.02.2015 04:00 - 17.02.2015 04:15","10701","8449"
"17.02.2015 04:15 - 17.02.2015 04:30","10705","8473"
"17.02.2015 04:30 - 17.02.2015 04:45","10737","8512"
"17.02.2015 04:45 - 17.02.2015 05:00","10810","8583"
"17.02.2015 05:00 - 17.02.2015 05:15","10910","8697"
"17.02.2015 05:15 - 17.02.2015 05:30","11088","8816"
"17.02.2015 05:30 - 17.02.2015 05:45","11367","8985"
"17.02.2015 05:45 - 17.02.2015 06:00","11638","9214"
"17.02.2015 06:00 - 17.02.2015 06:15","12076","9653"
"17.02.2015 06:15 - 17.02.2015 06:30","12513","10090"
"17.02.2015 06:30 - 17.02.2015 06:45","13071","10564"
"17.02.2015 06:45 - 17.02.2015 07:00","13659","11073"
"17.02.2015 07:00 - 17.02.2015 07:15","14170","11852"
"17.02.2015 07:15 - 17.02.2015 07:30","14320","12469"
"17.02.2015 07:30 - 17.02.2015 07:45","15525","12973"
"17.02.2015 07:45 - 17.02.2015 08:00","16199","13258"
"17.02.2015 08:00 - 17.02.2015 08:15","16549","13522"
"17.02.2015 08:15 - 17.02.2015 08:30","16720","13784"
"17.02.2015 08:30 - 17.02.2015 08:45","16904","14000"
"17.02.2015 08:45 - 17.02.2015 09:00","17112","14208"
"17.02.2015 09:00 - 17.02.2015 09:15","17318","14397"
"17.02.2015 09:15 - 17.02.2015 09:30","17463","14510"
"17.02.2015 09:30 - 17.02.2015 09:45","17528","14592"
"17.02.2015 09:45 - 17.02.2015 10:00","17577","14656"
"17.02.2015 10:00 - 17.02.2015 10:15","17593","14678"
"17.02.2015 10:15 - 17.02.2015 10:30","17535","14684"
"17.02.2015 10:30 - 17.02.2015 10:45","17506","14732"
"17.02.2015 10:45 - 17.02.2015 11:00","17487","14733"
"17.02.2015 11:00 - 17.02.2015 11:15","17502","14741"
"17.02.2015 11:15 - 17.02.2015 11:30","17502","14704"
"17.02.2015 11:30 - 17.02.2015 11:45","17312","14632"
"17.02.2015 11:45 - 17.02.2015 12:00","16957","14594"
"17.02.2015 12:00 - 17.02.2015 12:15","17092","14462"
"17.02.2015 12:15 - 17.02.2015 12:30","17308","14273"
"17.02.2015 12:30 - 17.02.2015 12:45","17145","14089"
"17.02.2015 12:45 - 17.02.2015 13:00","17062","13992"
"17.02.2015 13:00 - 17.02.2015 13:15","17095","14062"
"17.02.2015 13:15 - 17.02.2015 13:30","17212","14085"
"17.02.2015 13:30 - 17.02.2015 13:45","17231","14015"
"17.02.2015 13:45 - 17.02.2015 14:00","17170","13941"
"17.02.2015 14:00 - 17.02.2015 14:15","17125","13894"
"17.02.2015 14:15 - 17.02.2015 14:30","17056","13855"
"17.02.2015 14:30 - 17.02.2015 14:45","17025","13764"
"17.02.2015 14:45 - 17.02.2015 15:00","16996","13722"
"17.02.2015 15:00 - 17.02.2015 15:15","16931","13617"
"17.02.2015 15:15 - 17.02.2015 15:30","16914","13605"
"17.02.2015 15:30 - 17.02.2015 15:45","16980","13654"
"17.02.2015 15:45 - 17.02.2015 16:00","16976","13669"
"17.02.2015 16:00 - 17.02.2015 16:15","16928","13658"
"17.02.2015 16:15 - 17.02.2015 16:30","17018","13713"
"17.02.2015 16:30 - 17.02.2015 16:45","17006","13756"
"17.02.2015 16:45 - 17.02.2015 17:00","17073","13856"
"17.02.2015 17:00 - 17.02.2015 17:15","17136","13904"
"17.02.2015 17:15 - 17.02.2015 17:30","17200","14046"
"17.02.2015 17:30 - 17.02.2015 17:45","17474","14134"
"17.02.2015 17:45 - 17.02.2015 18:00","17645","14238"
"17.02.2015 18:00 - 17.02.2015 18:15","17519","14288"
"17.02.2015 18:15 - 17.02.2015 18:30","17197","14573"
"17.02.2015 18:30 - 17.02.2015 18:45","16975","14685"
"17.02.2015 18:45 - 17.02.2015 19:00","16850","14710"
"17.02.2015 19:00 - 17.02.2015 19:15","16725","14581"
"17.02.2015 19:15 - 17.02.2015 19:30","16586","14463"
"17.02.2015 19:30 - 17.02.2015 19:45","16455","14300"
"17.02.2015 19:45 - 17.02.2015 20:00","16326","14220"
"17.02.2015 20:00 - 17.02.2015 20:15","16120","13935"
"17.02.2015 20:15 - 17.02.2015 20:30","15900","13691"
"17.02.2015 20:30 - 17.02.2015 20:45","15668","13452"
"17.02.2015 20:45 - 17.02.2015 21:00","15404","13246"
"17.02.2015 21:00 - 17.02.2015 21:15","15164","12982"
"17.02.2015 21:15 - 17.02.2015 21:30","14981","12736"
"17.02.2015 21:30 - 17.02.2015 21:45","14704","12487"
"17.02.2015 21:45 - 17.02.2015 22:00","14375","12249"
"17.02.2015 22:00 - 17.02.2015 22:15","14046","11943"
"17.02.2015 22:15 - 17.02.2015 22:30","13775","11684"
"17.02.2015 22:30 - 17.02.2015 22:45","13480","11354"
"17.02.2015 22:45 - 17.02.2015 23:00","13165","11051"
"17.02.2015 23:00 - 17.02.2015 23:15","12977","10841"
"17.02.2015 23:15 - 17.02.2015 23:30","12870","10590"
"17.02.2015 23:30 - 17.02.2015 23:45","12591","10313"
"17.02.2015 23:45 - 18.02.2015 00:00","12329","10053"
"18.02.2015 00:00 - 18.02.2015 00:15","12169","10064"
"18.02.2015 00:15 - 18.02.2015 00:30","12140","9904"
"18.02.2015 00:30 - 18.02.2015 00:45","12026","9700"
"18.02.2015 00:45 - 18.02.2015 01:00","11845","9533"
"18.02.2015 01:00 - 18.02.2015 01:15","11676","9397"
"18.02.2015 01:15 - 18.02.2015 01:30","11553","9244"
"18.02.2015 01:30 - 18.02.2015 01:45","11438","9159"
"18.02.2015 01:45 - 18.02.2015 02:00","11337","9072"
"18.02.2015 02:00 - 18.02.2015 02:15","11228","9019"
"18.02.2015 02:15 - 18.02.2015 02:30","11141","8958"
"18.02.2015 02:30 - 18.02.2015 02:45","11104","8904"
"18.02.2015 02:45 - 18.02.2015 03:00","11049","8894"
"18.02.2015 03:00 - 18.02.2015 03:15","11026","8868"
"18.02.2015 03:15 - 18.02.2015 03:30","11014","8835"
"18.02.2015 03:30 - 18.02.2015 03:45","11004","8823"
