"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"10.04.2015 10:00 - 10.04.2015 10:15","65107","65171"
"10.04.2015 10:15 - 10.04.2015 10:30","65538","65386"
"10.04.2015 10:30 - 10.04.2015 10:45","65797","65552"
"10.04.2015 10:45 - 10.04.2015 11:00","65938","65706"
"10.04.2015 11:00 - 10.04.2015 11:15","66051","65911"
"10.04.2015 11:15 - 10.04.2015 11:30","66274","66185"
"10.04.2015 11:30 - 10.04.2015 11:45","66414","66182"
"10.04.2015 11:45 - 10.04.2015 12:00","66276","65680"
"10.04.2015 12:00 - 10.04.2015 12:15","66054","65044"
"10.04.2015 12:15 - 10.04.2015 12:30","65733","64861"
"10.04.2015 12:30 - 10.04.2015 12:45","65822","64641"
"10.04.2015 12:45 - 10.04.2015 13:00","65841","64569"
"10.04.2015 13:00 - 10.04.2015 13:15","65140","64279"
"10.04.2015 13:15 - 10.04.2015 13:30","64996","63924"
"10.04.2015 13:30 - 10.04.2015 13:45","64330","63254"
"10.04.2015 13:45 - 10.04.2015 14:00","63692","62577"
"10.04.2015 14:00 - 10.04.2015 14:15","63251","62211"
"10.04.2015 14:15 - 10.04.2015 14:30","62933","61897"
"10.04.2015 14:30 - 10.04.2015 14:45","62618","61404"
"10.04.2015 14:45 - 10.04.2015 15:00","62314","60879"
"10.04.2015 15:00 - 10.04.2015 15:15","61837","60763"
"10.04.2015 15:15 - 10.04.2015 15:30","61699","60211"
"10.04.2015 15:30 - 10.04.2015 15:45","61159","59400"
"10.04.2015 15:45 - 10.04.2015 16:00","60796","59111"
"10.04.2015 16:00 - 10.04.2015 16:15","60130","58578"
"10.04.2015 16:15 - 10.04.2015 16:30","59964","58279"
"10.04.2015 16:30 - 10.04.2015 16:45","59509","58017"
"10.04.2015 16:45 - 10.04.2015 17:00","59319","57808"
"10.04.2015 17:00 - 10.04.2015 17:15","59310","57861"
"10.04.2015 17:15 - 10.04.2015 17:30","59177","57861"
"10.04.2015 17:30 - 10.04.2015 17:45","59207","57691"
"10.04.2015 17:45 - 10.04.2015 18:00","59100","57675"
"10.04.2015 18:00 - 10.04.2015 18:15","59111","57534"
"10.04.2015 18:15 - 10.04.2015 18:30","59277","57346"
"10.04.2015 18:30 - 10.04.2015 18:45","59508","57513"
"10.04.2015 18:45 - 10.04.2015 19:00","59533","57603"
"10.04.2015 19:00 - 10.04.2015 19:15","59722","57561"
"10.04.2015 19:15 - 10.04.2015 19:30","59431","57143"
"10.04.2015 19:30 - 10.04.2015 19:45","59297","57037"
"10.04.2015 19:45 - 10.04.2015 20:00","59347","56953"
"10.04.2015 20:00 - 10.04.2015 20:15","59074","57175"
"10.04.2015 20:15 - 10.04.2015 20:30","59242","57651"
"10.04.2015 20:30 - 10.04.2015 20:45","58919","57913"
"10.04.2015 20:45 - 10.04.2015 21:00","58318","57534"
"10.04.2015 21:00 - 10.04.2015 21:15","57730","56842"
"10.04.2015 21:15 - 10.04.2015 21:30","57204","55914"
"10.04.2015 21:30 - 10.04.2015 21:45","56187","55032"
"10.04.2015 21:45 - 10.04.2015 22:00","55278","54238"
"10.04.2015 22:00 - 10.04.2015 22:15","54996","53570"
"10.04.2015 22:15 - 10.04.2015 22:30","54249","52680"
"10.04.2015 22:30 - 10.04.2015 22:45","53282","51343"
"10.04.2015 22:45 - 10.04.2015 23:00","52201","50499"
"10.04.2015 23:00 - 10.04.2015 23:15","51065","49155"
"10.04.2015 23:15 - 10.04.2015 23:30","50085","48338"
"10.04.2015 23:30 - 10.04.2015 23:45","49124","46958"
"10.04.2015 23:45 - 11.04.2015 00:00","48166","46140"
"11.04.2015 00:00 - 11.04.2015 00:15","44834","44871"
"11.04.2015 00:15 - 11.04.2015 00:30","44488","43942"
"11.04.2015 00:30 - 11.04.2015 00:45","43960","43517"
"11.04.2015 00:45 - 11.04.2015 01:00","43269","42990"
"11.04.2015 01:00 - 11.04.2015 01:15","42739","42421"
"11.04.2015 01:15 - 11.04.2015 01:30","42193","42078"
"11.04.2015 01:30 - 11.04.2015 01:45","41824","41645"
"11.04.2015 01:45 - 11.04.2015 02:00","41537","41286"
"11.04.2015 02:00 - 11.04.2015 02:15","41134","40765"
"11.04.2015 02:15 - 11.04.2015 02:30","41013","40283"
"11.04.2015 02:30 - 11.04.2015 02:45","40880","40312"
"11.04.2015 02:45 - 11.04.2015 03:00","40951","40122"
"11.04.2015 03:00 - 11.04.2015 03:15","41009","39917"
"11.04.2015 03:15 - 11.04.2015 03:30","41016","39787"
"11.04.2015 03:30 - 11.04.2015 03:45","41340","39681"
"11.04.2015 03:45 - 11.04.2015 04:00","41343","39737"
"11.04.2015 04:00 - 11.04.2015 04:15","41746","40231"
"11.04.2015 04:15 - 11.04.2015 04:30","41789","40564"
"11.04.2015 04:30 - 11.04.2015 04:45","42068","40535"
"11.04.2015 04:45 - 11.04.2015 05:00","42386","40803"
"11.04.2015 05:00 - 11.04.2015 05:15","42780","41173"
"11.04.2015 05:15 - 11.04.2015 05:30","42899","41319"
"11.04.2015 05:30 - 11.04.2015 05:45","43337","41251"
"11.04.2015 05:45 - 11.04.2015 06:00","43668","41559"
"11.04.2015 06:00 - 11.04.2015 06:15","44385","41867"
"11.04.2015 06:15 - 11.04.2015 06:30","45067","42066"
"11.04.2015 06:30 - 11.04.2015 06:45","45748","42390"
"11.04.2015 06:45 - 11.04.2015 07:00","46190","42959"
"11.04.2015 07:00 - 11.04.2015 07:15","47025","43797"
"11.04.2015 07:15 - 11.04.2015 07:30","47720","44738"
"11.04.2015 07:30 - 11.04.2015 07:45","48781","45949"
"11.04.2015 07:45 - 11.04.2015 08:00","49801","47204"
"11.04.2015 08:00 - 11.04.2015 08:15","50910","48626"
"11.04.2015 08:15 - 11.04.2015 08:30","52001","49559"
"11.04.2015 08:30 - 11.04.2015 08:45","52674","50237"
"11.04.2015 08:45 - 11.04.2015 09:00","53577","51066"
"11.04.2015 09:00 - 11.04.2015 09:15","54218","52144"
"11.04.2015 09:15 - 11.04.2015 09:30","55081","52603"
"11.04.2015 09:30 - 11.04.2015 09:45","55604","52966"
"11.04.2015 09:45 - 11.04.2015 10:00","56226","53427"
"11.04.2015 10:00 - 11.04.2015 10:15","56631","53699"
"11.04.2015 10:15 - 11.04.2015 10:30","56634","54146"
"11.04.2015 10:30 - 11.04.2015 10:45","57323","54073"
"11.04.2015 10:45 - 11.04.2015 11:00","57811","54227"
"11.04.2015 11:00 - 11.04.2015 11:15","58140","54737"
"11.04.2015 11:15 - 11.04.2015 11:30","58330","55261"
"11.04.2015 11:30 - 11.04.2015 11:45","58453","55410"
"11.04.2015 11:45 - 11.04.2015 12:00","58268","55414"
"11.04.2015 12:00 - 11.04.2015 12:15","57887","55004"
"11.04.2015 12:15 - 11.04.2015 12:30","57318","54706"
"11.04.2015 12:30 - 11.04.2015 12:45","56835","54409"
"11.04.2015 12:45 - 11.04.2015 13:00","56470","54106"
"11.04.2015 13:00 - 11.04.2015 13:15","56461","53798"
"11.04.2015 13:15 - 11.04.2015 13:30","55749","53082"
"11.04.2015 13:30 - 11.04.2015 13:45","55348","52959"
"11.04.2015 13:45 - 11.04.2015 14:00","54975","52279"
"11.04.2015 14:00 - 11.04.2015 14:15","54424","51787"
"11.04.2015 14:15 - 11.04.2015 14:30","53920","51610"
"11.04.2015 14:30 - 11.04.2015 14:45","53674","51779"
"11.04.2015 14:45 - 11.04.2015 15:00","53284","51352"
"11.04.2015 15:00 - 11.04.2015 15:15","53330","51196"
"11.04.2015 15:15 - 11.04.2015 15:30","52963","50795"
"11.04.2015 15:30 - 11.04.2015 15:45","52834","50629"
"11.04.2015 15:45 - 11.04.2015 16:00","52464","51286"
"11.04.2015 16:00 - 11.04.2015 16:15","52050","51204"
"11.04.2015 16:15 - 11.04.2015 16:30","51815","51125"
"11.04.2015 16:30 - 11.04.2015 16:45","51495","51177"
"11.04.2015 16:45 - 11.04.2015 17:00","51275","51131"
"11.04.2015 17:00 - 11.04.2015 17:15","51450","51219"
"11.04.2015 17:15 - 11.04.2015 17:30","51799","51219"
"11.04.2015 17:30 - 11.04.2015 17:45","52041","51917"
"11.04.2015 17:45 - 11.04.2015 18:00","52075","52169"
"11.04.2015 18:00 - 11.04.2015 18:15","52280","51873"
"11.04.2015 18:15 - 11.04.2015 18:30","52529","51516"
"11.04.2015 18:30 - 11.04.2015 18:45","52791","51593"
"11.04.2015 18:45 - 11.04.2015 19:00","52756","52214"
"11.04.2015 19:00 - 11.04.2015 19:15","52794","51917"
"11.04.2015 19:15 - 11.04.2015 19:30","52697","51525"
"11.04.2015 19:30 - 11.04.2015 19:45","52434","51794"
"11.04.2015 19:45 - 11.04.2015 20:00","52116","51670"
"11.04.2015 20:00 - 11.04.2015 20:15","52031","51787"
"11.04.2015 20:15 - 11.04.2015 20:30","51904","51566"
"11.04.2015 20:30 - 11.04.2015 20:45","51550","51247"
"11.04.2015 20:45 - 11.04.2015 21:00","51148","50416"
"11.04.2015 21:00 - 11.04.2015 21:15","50958","50029"
"11.04.2015 21:15 - 11.04.2015 21:30","50362","49430"
"11.04.2015 21:30 - 11.04.2015 21:45","49691","48834"
"11.04.2015 21:45 - 11.04.2015 22:00","48953","48637"
"11.04.2015 22:00 - 11.04.2015 22:15","49104","48692"
"11.04.2015 22:15 - 11.04.2015 22:30","48410","47877"
"11.04.2015 22:30 - 11.04.2015 22:45","47534","46665"
"11.04.2015 22:45 - 11.04.2015 23:00","46721","45595"
"11.04.2015 23:00 - 11.04.2015 23:15","45852","44574"
"11.04.2015 23:15 - 11.04.2015 23:30","44999","43751"
"11.04.2015 23:30 - 11.04.2015 23:45","44197","42486"
"11.04.2015 23:45 - 12.04.2015 00:00","43412","41400"
"12.04.2015 00:00 - 12.04.2015 00:15","41950","41306"
"12.04.2015 00:15 - 12.04.2015 00:30","41295","40866"
"12.04.2015 00:30 - 12.04.2015 00:45","40746","40383"
"12.04.2015 00:45 - 12.04.2015 01:00","40216","39897"
"12.04.2015 01:00 - 12.04.2015 01:15","39693","39084"
"12.04.2015 01:15 - 12.04.2015 01:30","39199","38492"
"12.04.2015 01:30 - 12.04.2015 01:45","38884","37854"
"12.04.2015 01:45 - 12.04.2015 02:00","38710","37796"
"12.04.2015 02:00 - 12.04.2015 02:15","38454","37599"
"12.04.2015 02:15 - 12.04.2015 02:30","38205","37014"
"12.04.2015 02:30 - 12.04.2015 02:45","38057","36828"
"12.04.2015 02:45 - 12.04.2015 03:00","38015","36559"
"12.04.2015 03:00 - 12.04.2015 03:15","38087","37155"
"12.04.2015 03:15 - 12.04.2015 03:30","38012","36795"
"12.04.2015 03:30 - 12.04.2015 03:45","38001","36853"
"12.04.2015 03:45 - 12.04.2015 04:00","38128","36781"
"12.04.2015 04:00 - 12.04.2015 04:15","38403","37180"
"12.04.2015 04:15 - 12.04.2015 04:30","38576","37275"
"12.04.2015 04:30 - 12.04.2015 04:45","38731","37276"
"12.04.2015 04:45 - 12.04.2015 05:00","38922","37279"
"12.04.2015 05:00 - 12.04.2015 05:15","39178","37395"
"12.04.2015 05:15 - 12.04.2015 05:30","39267","37389"
"12.04.2015 05:30 - 12.04.2015 05:45","39341","37438"
"12.04.2015 05:45 - 12.04.2015 06:00","39492","37288"
"12.04.2015 06:00 - 12.04.2015 06:15","40168","36979"
"12.04.2015 06:15 - 12.04.2015 06:30","40534","36810"
"12.04.2015 06:30 - 12.04.2015 06:45","40841","36660"
"12.04.2015 06:45 - 12.04.2015 07:00","40919","36742"
"12.04.2015 07:00 - 12.04.2015 07:15","41792","37490"
"12.04.2015 07:15 - 12.04.2015 07:30","42492","38177"
"12.04.2015 07:30 - 12.04.2015 07:45","43268","39051"
"12.04.2015 07:45 - 12.04.2015 08:00","44095","40244"
"12.04.2015 08:00 - 12.04.2015 08:15","44951","40476"
"12.04.2015 08:15 - 12.04.2015 08:30","46049","41260"
"12.04.2015 08:30 - 12.04.2015 08:45","46878","42196"
"12.04.2015 08:45 - 12.04.2015 09:00","47618","42731"
"12.04.2015 09:00 - 12.04.2015 09:15","48329","43692"
"12.04.2015 09:15 - 12.04.2015 09:30","48996","44339"
"12.04.2015 09:30 - 12.04.2015 09:45","49621","45254"
"12.04.2015 09:45 - 12.04.2015 10:00","50279","45509"
"12.04.2015 10:00 - 12.04.2015 10:15","50523","46686"
"12.04.2015 10:15 - 12.04.2015 10:30","50920","47520"
"12.04.2015 10:30 - 12.04.2015 10:45","51435","47857"
"12.04.2015 10:45 - 12.04.2015 11:00","52148","48436"
"12.04.2015 11:00 - 12.04.2015 11:15","52730","49546"
"12.04.2015 11:15 - 12.04.2015 11:30","53320","50429"
"12.04.2015 11:30 - 12.04.2015 11:45","53630","51027"
"12.04.2015 11:45 - 12.04.2015 12:00","53642","50992"
"12.04.2015 12:00 - 12.04.2015 12:15","53060","50498"
"12.04.2015 12:15 - 12.04.2015 12:30","52470","50004"
"12.04.2015 12:30 - 12.04.2015 12:45","51903","49073"
"12.04.2015 12:45 - 12.04.2015 13:00","51367","48370"
"12.04.2015 13:00 - 12.04.2015 13:15","51060","48036"
"12.04.2015 13:15 - 12.04.2015 13:30","50598","47420"
"12.04.2015 13:30 - 12.04.2015 13:45","50008","46823"
"12.04.2015 13:45 - 12.04.2015 14:00","49603","46325"
"12.04.2015 14:00 - 12.04.2015 14:15","49442","46005"
"12.04.2015 14:15 - 12.04.2015 14:30","48964","45501"
"12.04.2015 14:30 - 12.04.2015 14:45","48763","44695"
"12.04.2015 14:45 - 12.04.2015 15:00","48559","44239"
"12.04.2015 15:00 - 12.04.2015 15:15","48709","44108"
"12.04.2015 15:15 - 12.04.2015 15:30","48031","43594"
"12.04.2015 15:30 - 12.04.2015 15:45","47834","43476"
"12.04.2015 15:45 - 12.04.2015 16:00","47719","43108"
"12.04.2015 16:00 - 12.04.2015 16:15","47333","43193"
"12.04.2015 16:15 - 12.04.2015 16:30","47267","43252"
"12.04.2015 16:30 - 12.04.2015 16:45","47122","43564"
"12.04.2015 16:45 - 12.04.2015 17:00","46939","43359"
"12.04.2015 17:00 - 12.04.2015 17:15","46906","43808"
"12.04.2015 17:15 - 12.04.2015 17:30","47523","44300"
"12.04.2015 17:30 - 12.04.2015 17:45","48079","44858"
"12.04.2015 17:45 - 12.04.2015 18:00","48476","45271"
"12.04.2015 18:00 - 12.04.2015 18:15","49060","45680"
"12.04.2015 18:15 - 12.04.2015 18:30","49726","46305"
"12.04.2015 18:30 - 12.04.2015 18:45","50296","46792"
"12.04.2015 18:45 - 12.04.2015 19:00","50146","47089"
"12.04.2015 19:00 - 12.04.2015 19:15","50804","47307"
"12.04.2015 19:15 - 12.04.2015 19:30","50773","47207"
"12.04.2015 19:30 - 12.04.2015 19:45","50771","47596"
"12.04.2015 19:45 - 12.04.2015 20:00","50643","47611"
"12.04.2015 20:00 - 12.04.2015 20:15","51156","48171"
"12.04.2015 20:15 - 12.04.2015 20:30","51295","48732"
"12.04.2015 20:30 - 12.04.2015 20:45","51208","49304"
"12.04.2015 20:45 - 12.04.2015 21:00","50775","49111"
"12.04.2015 21:00 - 12.04.2015 21:15","50823","48798"
"12.04.2015 21:15 - 12.04.2015 21:30","50380","48354"
"12.04.2015 21:30 - 12.04.2015 21:45","49925","48187"
"12.04.2015 21:45 - 12.04.2015 22:00","49391","48224"
"12.04.2015 22:00 - 12.04.2015 22:15","49873","48463"
"12.04.2015 22:15 - 12.04.2015 22:30","49338","48352"
"12.04.2015 22:30 - 12.04.2015 22:45","48461","47462"
"12.04.2015 22:45 - 12.04.2015 23:00","47519","46682"
"12.04.2015 23:00 - 12.04.2015 23:15","46605","45841"
"12.04.2015 23:15 - 12.04.2015 23:30","45716","44871"
"12.04.2015 23:30 - 12.04.2015 23:45","44983","43974"
"12.04.2015 23:45 - 13.04.2015 00:00","44127","43334"
"13.04.2015 00:00 - 13.04.2015 00:15","42205","42889"
"13.04.2015 00:15 - 13.04.2015 00:30","41791","42158"
"13.04.2015 00:30 - 13.04.2015 00:45","41517","41059"
"13.04.2015 00:45 - 13.04.2015 01:00","41204","40826"
"13.04.2015 01:00 - 13.04.2015 01:15","40551","40514"
"13.04.2015 01:15 - 13.04.2015 01:30","40444","39988"
"13.04.2015 01:30 - 13.04.2015 01:45","40271","39469"
"13.04.2015 01:45 - 13.04.2015 02:00","40065","39522"
"13.04.2015 02:00 - 13.04.2015 02:15","39945","38987"
"13.04.2015 02:15 - 13.04.2015 02:30","39748","39053"
"13.04.2015 02:30 - 13.04.2015 02:45","39926","39373"
"13.04.2015 02:45 - 13.04.2015 03:00","40075","39623"
"13.04.2015 03:00 - 13.04.2015 03:15","39991","39589"
"13.04.2015 03:15 - 13.04.2015 03:30","40502","39521"
"13.04.2015 03:30 - 13.04.2015 03:45","40263","39571"
"13.04.2015 03:45 - 13.04.2015 04:00","40912","39988"
"13.04.2015 04:00 - 13.04.2015 04:15","41600","41250"
"13.04.2015 04:15 - 13.04.2015 04:30","41926","42009"
"13.04.2015 04:30 - 13.04.2015 04:45","42725","42833"
"13.04.2015 04:45 - 13.04.2015 05:00","43486","43744"
"13.04.2015 05:00 - 13.04.2015 05:15","44987","45689"
"13.04.2015 05:15 - 13.04.2015 05:30","46066","46584"
"13.04.2015 05:30 - 13.04.2015 05:45","47651","48243"
"13.04.2015 05:45 - 13.04.2015 06:00","49404","49912"
"13.04.2015 06:00 - 13.04.2015 06:15","52769","53303"
"13.04.2015 06:15 - 13.04.2015 06:30","54581","56016"
"13.04.2015 06:30 - 13.04.2015 06:45","56140","57328"
"13.04.2015 06:45 - 13.04.2015 07:00","57501","58250"
"13.04.2015 07:00 - 13.04.2015 07:15","59222","60101"
"13.04.2015 07:15 - 13.04.2015 07:30","60413","61316"
"13.04.2015 07:30 - 13.04.2015 07:45","61001","62285"
"13.04.2015 07:45 - 13.04.2015 08:00","62195","63106"
"13.04.2015 08:00 - 13.04.2015 08:15","63215","63586"
"13.04.2015 08:15 - 13.04.2015 08:30","63890","63839"
"13.04.2015 08:30 - 13.04.2015 08:45","63998","64269"
"13.04.2015 08:45 - 13.04.2015 09:00","64511","64196"
"13.04.2015 09:00 - 13.04.2015 09:15","64443","64031"
"13.04.2015 09:15 - 13.04.2015 09:30","64291","64403"
"13.04.2015 09:30 - 13.04.2015 09:45","65249","64988"
"13.04.2015 09:45 - 13.04.2015 10:00","65475","65174"
"13.04.2015 10:00 - 13.04.2015 10:15","65165","65409"
"13.04.2015 10:15 - 13.04.2015 10:30","65199","66148"
"13.04.2015 10:30 - 13.04.2015 10:45","65806","66159"
"13.04.2015 10:45 - 13.04.2015 11:00","66015","66195"
"13.04.2015 11:00 - 13.04.2015 11:15","66557","66593"
"13.04.2015 11:15 - 13.04.2015 11:30","66669","67251"
"13.04.2015 11:30 - 13.04.2015 11:45","67067","67504"
"13.04.2015 11:45 - 13.04.2015 12:00","67180","67383"
"13.04.2015 12:00 - 13.04.2015 12:15","66169","66946"
"13.04.2015 12:15 - 13.04.2015 12:30","65999","66850"
"13.04.2015 12:30 - 13.04.2015 12:45","65691","66555"
"13.04.2015 12:45 - 13.04.2015 13:00","65602","66732"
"13.04.2015 13:00 - 13.04.2015 13:15","66012","67126"
"13.04.2015 13:15 - 13.04.2015 13:30","65459","66738"
"13.04.2015 13:30 - 13.04.2015 13:45","65411","66278"
"13.04.2015 13:45 - 13.04.2015 14:00","64380","65472"
"13.04.2015 14:00 - 13.04.2015 14:15","64401","65172"
"13.04.2015 14:15 - 13.04.2015 14:30","64542","64854"
"13.04.2015 14:30 - 13.04.2015 14:45","64424","64752"
"13.04.2015 14:45 - 13.04.2015 15:00","63863","64206"
"13.04.2015 15:00 - 13.04.2015 15:15","64194","63961"
"13.04.2015 15:15 - 13.04.2015 15:30","63953","63897"
"13.04.2015 15:30 - 13.04.2015 15:45","63240","63622"
"13.04.2015 15:45 - 13.04.2015 16:00","62279","63334"
"13.04.2015 16:00 - 13.04.2015 16:15","62032","62260"
"13.04.2015 16:15 - 13.04.2015 16:30","61367","61610"
"13.04.2015 16:30 - 13.04.2015 16:45","60969","61364"
"13.04.2015 16:45 - 13.04.2015 17:00","60699","61115"
"13.04.2015 17:00 - 13.04.2015 17:15","61152","60576"
"13.04.2015 17:15 - 13.04.2015 17:30","61006","60343"
"13.04.2015 17:30 - 13.04.2015 17:45","61174","60470"
"13.04.2015 17:45 - 13.04.2015 18:00","61012","60632"
"13.04.2015 18:00 - 13.04.2015 18:15","61160","60135"
"13.04.2015 18:15 - 13.04.2015 18:30","60884","60062"
"13.04.2015 18:30 - 13.04.2015 18:45","61394","60349"
"13.04.2015 18:45 - 13.04.2015 19:00","61961","60121"
"13.04.2015 19:00 - 13.04.2015 19:15","62027","60705"
"13.04.2015 19:15 - 13.04.2015 19:30","61531","60345"
"13.04.2015 19:30 - 13.04.2015 19:45","61718","60289"
"13.04.2015 19:45 - 13.04.2015 20:00","61607","60043"
"13.04.2015 20:00 - 13.04.2015 20:15","61012","60026"
"13.04.2015 20:15 - 13.04.2015 20:30","61172","60328"
"13.04.2015 20:30 - 13.04.2015 20:45","60664","60647"
"13.04.2015 20:45 - 13.04.2015 21:00","59903","60463"
"13.04.2015 21:00 - 13.04.2015 21:15","59343","59438"
"13.04.2015 21:15 - 13.04.2015 21:30","58940","58430"
"13.04.2015 21:30 - 13.04.2015 21:45","57792","57529"
"13.04.2015 21:45 - 13.04.2015 22:00","56796","56586"
"13.04.2015 22:00 - 13.04.2015 22:15","56323","56390"
"13.04.2015 22:15 - 13.04.2015 22:30","55022","54976"
"13.04.2015 22:30 - 13.04.2015 22:45","53636","53807"
"13.04.2015 22:45 - 13.04.2015 23:00","52409","52720"
"13.04.2015 23:00 - 13.04.2015 23:15","51069","51278"
"13.04.2015 23:15 - 13.04.2015 23:30","49689","50273"
"13.04.2015 23:30 - 13.04.2015 23:45","48463","49176"
"13.04.2015 23:45 - 14.04.2015 00:00","47661","48058"
"14.04.2015 00:00 - 14.04.2015 00:15","47735","47240"
"14.04.2015 00:15 - 14.04.2015 00:30","47054","46647"
"14.04.2015 00:30 - 14.04.2015 00:45","46464","46022"
"14.04.2015 00:45 - 14.04.2015 01:00","46043","45414"
"14.04.2015 01:00 - 14.04.2015 01:15","45405","44710"
"14.04.2015 01:15 - 14.04.2015 01:30","45114","44469"
"14.04.2015 01:30 - 14.04.2015 01:45","44682","44124"
"14.04.2015 01:45 - 14.04.2015 02:00","44359","43895"
"14.04.2015 02:00 - 14.04.2015 02:15","44280","43563"
"14.04.2015 02:15 - 14.04.2015 02:30","44031","43441"
"14.04.2015 02:30 - 14.04.2015 02:45","44216","43494"
"14.04.2015 02:45 - 14.04.2015 03:00","44070","43720"
"14.04.2015 03:00 - 14.04.2015 03:15","43988","43909"
"14.04.2015 03:15 - 14.04.2015 03:30","44454","44382"
"14.04.2015 03:30 - 14.04.2015 03:45","44641","44684"
"14.04.2015 03:45 - 14.04.2015 04:00","44870","44718"
"14.04.2015 04:00 - 14.04.2015 04:15","45331","45242"
"14.04.2015 04:15 - 14.04.2015 04:30","45775","45558"
"14.04.2015 04:30 - 14.04.2015 04:45","46371","46295"
"14.04.2015 04:45 - 14.04.2015 05:00","46915","46760"
"14.04.2015 05:00 - 14.04.2015 05:15","48069","48130"
"14.04.2015 05:15 - 14.04.2015 05:30","48745","49059"
"14.04.2015 05:30 - 14.04.2015 05:45","49818","50252"
"14.04.2015 05:45 - 14.04.2015 06:00","51222","51715"
"14.04.2015 06:00 - 14.04.2015 06:15","54181","54759"
"14.04.2015 06:15 - 14.04.2015 06:30","56090","57040"
"14.04.2015 06:30 - 14.04.2015 06:45","57449","58365"
"14.04.2015 06:45 - 14.04.2015 07:00","58476","59631"
"14.04.2015 07:00 - 14.04.2015 07:15","56902","61114"
"14.04.2015 07:15 - 14.04.2015 07:30","62187","62005"
"14.04.2015 07:30 - 14.04.2015 07:45","62743","62668"
"14.04.2015 07:45 - 14.04.2015 08:00","63884","63718"
"14.04.2015 08:00 - 14.04.2015 08:15","65004","64510"
"14.04.2015 08:15 - 14.04.2015 08:30","65712","62825"
"14.04.2015 08:30 - 14.04.2015 08:45","65439","63004"
"14.04.2015 08:45 - 14.04.2015 09:00","66252","63092"
"14.04.2015 09:00 - 14.04.2015 09:15","66079","62782"
"14.04.2015 09:15 - 14.04.2015 09:30","65688","64795"
"14.04.2015 09:30 - 14.04.2015 09:45","66836","65533"
"14.04.2015 09:45 - 14.04.2015 10:00","67243","65923"
"14.04.2015 10:00 - 14.04.2015 10:15","66748","66146"
"14.04.2015 10:15 - 14.04.2015 10:30","66539","66486"
"14.04.2015 10:30 - 14.04.2015 10:45","67294","66832"
"14.04.2015 10:45 - 14.04.2015 11:00","67406","66792"
"14.04.2015 11:00 - 14.04.2015 11:15","68051","67344"
"14.04.2015 11:15 - 14.04.2015 11:30","68162","67760"
"14.04.2015 11:30 - 14.04.2015 11:45","68464","68447"
"14.04.2015 11:45 - 14.04.2015 12:00","68563","68310"
"14.04.2015 12:00 - 14.04.2015 12:15","67507","67517"
"14.04.2015 12:15 - 14.04.2015 12:30","67378","67288"
"14.04.2015 12:30 - 14.04.2015 12:45","67355","67202"
"14.04.2015 12:45 - 14.04.2015 13:00","67531","67329"
"14.04.2015 13:00 - 14.04.2015 13:15","67252","67767"
"14.04.2015 13:15 - 14.04.2015 13:30","66974","67183"
"14.04.2015 13:30 - 14.04.2015 13:45","66837","66709"
"14.04.2015 13:45 - 14.04.2015 14:00","65422","66057"
"14.04.2015 14:00 - 14.04.2015 14:15","65652","65819"
"14.04.2015 14:15 - 14.04.2015 14:30","65772","65909"
"14.04.2015 14:30 - 14.04.2015 14:45","65664","65525"
"14.04.2015 14:45 - 14.04.2015 15:00","64815","65131"
"14.04.2015 15:00 - 14.04.2015 15:15","64918","65037"
"14.04.2015 15:15 - 14.04.2015 15:30","64773","64921"
"14.04.2015 15:30 - 14.04.2015 15:45","64020","64286"
"14.04.2015 15:45 - 14.04.2015 16:00","62979","63756"
"14.04.2015 16:00 - 14.04.2015 16:15","62914","62993"
"14.04.2015 16:15 - 14.04.2015 16:30","62367","62527"
"14.04.2015 16:30 - 14.04.2015 16:45","62076","61746"
"14.04.2015 16:45 - 14.04.2015 17:00","61855","61523"
"14.04.2015 17:00 - 14.04.2015 17:15","62088","61396"
"14.04.2015 17:15 - 14.04.2015 17:30","61814","61297"
"14.04.2015 17:30 - 14.04.2015 17:45","61897","61153"
"14.04.2015 17:45 - 14.04.2015 18:00","61851","61190"
"14.04.2015 18:00 - 14.04.2015 18:15","62023","60693"
"14.04.2015 18:15 - 14.04.2015 18:30","61828","60291"
"14.04.2015 18:30 - 14.04.2015 18:45","62348","60483"
"14.04.2015 18:45 - 14.04.2015 19:00","62195","60758"
"14.04.2015 19:00 - 14.04.2015 19:15","62543","60622"
"14.04.2015 19:15 - 14.04.2015 19:30","62117","60377"
"14.04.2015 19:30 - 14.04.2015 19:45","62025","60404"
"14.04.2015 19:45 - 14.04.2015 20:00","61981","60459"
"14.04.2015 20:00 - 14.04.2015 20:15","61660","60543"
"14.04.2015 20:15 - 14.04.2015 20:30","61717","60638"
"14.04.2015 20:30 - 14.04.2015 20:45","61481","60694"
"14.04.2015 20:45 - 14.04.2015 21:00","60443","60391"
"14.04.2015 21:00 - 14.04.2015 21:15","59812","60143"
"14.04.2015 21:15 - 14.04.2015 21:30","59696","59340"
"14.04.2015 21:30 - 14.04.2015 21:45","58395","58305"
"14.04.2015 21:45 - 14.04.2015 22:00","57171","56979"
"14.04.2015 22:00 - 14.04.2015 22:15","56824","56508"
"14.04.2015 22:15 - 14.04.2015 22:30","55758","55535"
"14.04.2015 22:30 - 14.04.2015 22:45","54401","54187"
