"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2015 00:30 - 02.01.2015 00:45","40238","42102"
"02.01.2015 00:45 - 02.01.2015 01:00","39805","41522"
"02.01.2015 01:00 - 02.01.2015 01:15","39257","41223"
"02.01.2015 01:15 - 02.01.2015 01:30","38803","40680"
"02.01.2015 01:30 - 02.01.2015 01:45","38517","40330"
"02.01.2015 01:45 - 02.01.2015 02:00","38269","40074"
"02.01.2015 02:00 - 02.01.2015 02:15","37882","39939"
"02.01.2015 02:15 - 02.01.2015 02:30","37817","39763"
"02.01.2015 02:30 - 02.01.2015 02:45","37831","39642"
"02.01.2015 02:45 - 02.01.2015 03:00","37749","39484"
"02.01.2015 03:00 - 02.01.2015 03:15","37877","39531"
"02.01.2015 03:15 - 02.01.2015 03:30","37794","39584"
"02.01.2015 03:30 - 02.01.2015 03:45","37735","39451"
"02.01.2015 03:45 - 02.01.2015 04:00","37907","39451"
"02.01.2015 04:00 - 02.01.2015 04:15","38537","39899"
"02.01.2015 04:15 - 02.01.2015 04:30","38679","40189"
"02.01.2015 04:30 - 02.01.2015 04:45","38990","40562"
"02.01.2015 04:45 - 02.01.2015 05:00","39493","40915"
"02.01.2015 05:00 - 02.01.2015 05:15","40010","41746"
"02.01.2015 05:15 - 02.01.2015 05:30","39979","41931"
"02.01.2015 05:30 - 02.01.2015 05:45","40613","42504"
"02.01.2015 05:45 - 02.01.2015 06:00","41408","43347"
"02.01.2015 06:00 - 02.01.2015 06:15","42119","44164"
"02.01.2015 06:15 - 02.01.2015 06:30","42613","45021"
"02.01.2015 06:30 - 02.01.2015 06:45","43850","46137"
"02.01.2015 06:45 - 02.01.2015 07:00","45019","47393"
"02.01.2015 07:00 - 02.01.2015 07:15","47059","48749"
"02.01.2015 07:15 - 02.01.2015 07:30","48854","49732"
"02.01.2015 07:30 - 02.01.2015 07:45","49747","50964"
"02.01.2015 07:45 - 02.01.2015 08:00","50499","52225"
"02.01.2015 08:00 - 02.01.2015 08:15","51317","53236"
"02.01.2015 08:15 - 02.01.2015 08:30","51397","54019"
"02.01.2015 08:30 - 02.01.2015 08:45","51617","54382"
"02.01.2015 08:45 - 02.01.2015 09:00","51829","54886"
"02.01.2015 09:00 - 02.01.2015 09:15","52335","55742"
"02.01.2015 09:15 - 02.01.2015 09:30","53045","56308"
"02.01.2015 09:30 - 02.01.2015 09:45","53413","56781"
"02.01.2015 09:45 - 02.01.2015 10:00","53739","57189"
"02.01.2015 10:00 - 02.01.2015 10:15","54066","57909"
"02.01.2015 10:15 - 02.01.2015 10:30","54205","58162"
"02.01.2015 10:30 - 02.01.2015 10:45","54545","58761"
"02.01.2015 10:45 - 02.01.2015 11:00","54966","58954"
"02.01.2015 11:00 - 02.01.2015 11:15","55287","59373"
"02.01.2015 11:15 - 02.01.2015 11:30","55780","59475"
"02.01.2015 11:30 - 02.01.2015 11:45","55933","59450"
"02.01.2015 11:45 - 02.01.2015 12:00","55742","59513"
"02.01.2015 12:00 - 02.01.2015 12:15","55955","59390"
"02.01.2015 12:15 - 02.01.2015 12:30","55824","59165"
"02.01.2015 12:30 - 02.01.2015 12:45","55848","59207"
"02.01.2015 12:45 - 02.01.2015 13:00","54880","59041"
"02.01.2015 13:00 - 02.01.2015 13:15","53581","59010"
"02.01.2015 13:15 - 02.01.2015 13:30","53376","58689"
"02.01.2015 13:30 - 02.01.2015 13:45","53995","58364"
"02.01.2015 13:45 - 02.01.2015 14:00","53840","58194"
"02.01.2015 14:00 - 02.01.2015 14:15","52378","58055"
"02.01.2015 14:15 - 02.01.2015 14:30","53257","57821"
"02.01.2015 14:30 - 02.01.2015 14:45","53852","57574"
"02.01.2015 14:45 - 02.01.2015 15:00","53772","57434"
"02.01.2015 15:00 - 02.01.2015 15:15","53629","57542"
"02.01.2015 15:15 - 02.01.2015 15:30","53191","57240"
"02.01.2015 15:30 - 02.01.2015 15:45","53237","57069"
"02.01.2015 15:45 - 02.01.2015 16:00","53043","57252"
"02.01.2015 16:00 - 02.01.2015 16:15","53466","57637"
"02.01.2015 16:15 - 02.01.2015 16:30","53840","58423"
"02.01.2015 16:30 - 02.01.2015 16:45","54818","59187"
"02.01.2015 16:45 - 02.01.2015 17:00","55839","60004"
"02.01.2015 17:00 - 02.01.2015 17:15","56468","61073"
"02.01.2015 17:15 - 02.01.2015 17:30","57288","61483"
"02.01.2015 17:30 - 02.01.2015 17:45","57505","61794"
"02.01.2015 17:45 - 02.01.2015 18:00","57670","62071"
"02.01.2015 18:00 - 02.01.2015 18:15","57651","62004"
"02.01.2015 18:15 - 02.01.2015 18:30","57332","61900"
"02.01.2015 18:30 - 02.01.2015 18:45","57203","61607"
"02.01.2015 18:45 - 02.01.2015 19:00","56886","61069"
"02.01.2015 19:00 - 02.01.2015 19:15","56641","60389"
"02.01.2015 19:15 - 02.01.2015 19:30","55911","59619"
"02.01.2015 19:30 - 02.01.2015 19:45","55317","58863"
"02.01.2015 19:45 - 02.01.2015 20:00","54465","58260"
"02.01.2015 20:00 - 02.01.2015 20:15","53461","57171"
"02.01.2015 20:15 - 02.01.2015 20:30","52282","56034"
"02.01.2015 20:30 - 02.01.2015 20:45","51096","55045"
"02.01.2015 20:45 - 02.01.2015 21:00","50295","54238"
"02.01.2015 21:00 - 02.01.2015 21:15","50002","53806"
"02.01.2015 21:15 - 02.01.2015 21:30","48503","53439"
"02.01.2015 21:30 - 02.01.2015 21:45","46584","52959"
"02.01.2015 21:45 - 02.01.2015 22:00","46101","52542"
"02.01.2015 22:00 - 02.01.2015 22:15","46533","52577"
"02.01.2015 22:15 - 02.01.2015 22:30","46633","51839"
"02.01.2015 22:30 - 02.01.2015 22:45","45812","51018"
"02.01.2015 22:45 - 02.01.2015 23:00","44912","47331"
"02.01.2015 23:00 - 02.01.2015 23:15","44705","46805"
"02.01.2015 23:15 - 02.01.2015 23:30","44663","45857"
"02.01.2015 23:30 - 02.01.2015 23:45","44964","44847"
"02.01.2015 23:45 - 03.01.2015 00:00","43563","43784"
"03.01.2015 00:00 - 03.01.2015 00:15","42776","41842"
"03.01.2015 00:15 - 03.01.2015 00:30","41478","40759"
"03.01.2015 00:30 - 03.01.2015 00:45","42869","39904"
"03.01.2015 00:45 - 03.01.2015 01:00","42242","39351"
"03.01.2015 01:00 - 03.01.2015 01:15","41625","38952"
"03.01.2015 01:15 - 03.01.2015 01:30","41117","38335"
"03.01.2015 01:30 - 03.01.2015 01:45","40681","38198"
"03.01.2015 01:45 - 03.01.2015 02:00","40427","37868"
"03.01.2015 02:00 - 03.01.2015 02:15","39981","37546"
"03.01.2015 02:15 - 03.01.2015 02:30","39799","36981"
"03.01.2015 02:30 - 03.01.2015 02:45","39668","36676"
"03.01.2015 02:45 - 03.01.2015 03:00","39662","36382"
"03.01.2015 03:00 - 03.01.2015 03:15","39693","36233"
"03.01.2015 03:15 - 03.01.2015 03:30","39563","36038"
"03.01.2015 03:30 - 03.01.2015 03:45","39894","35955"
