lengthInHours,1,9,50,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,50,10
loadNL,18390,18179,17535,16622,15797,15221,14826,14395,13819,13155,12498,11957,11438,10887,10333,9828,9448,8961,8390,8160
loadDE,77496,77019.4,76351.7,73930.6,71065.9,69053.5,67211.3,65177.7,62995,60328.1,60328.1,57307,52857.9,50480.1,48570.8,46703.1,44570.2,40768.5,36629.3,35465.3
