lengthInHours,1,9,50,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,50,10
loadDE,77496,77019.4,76351.7,73930.6,71065.9,69053.5,67211.3,65177.7,62995,60328.1,60328.1,57307,52857.9,50480.1,48570.8,46703.1,44570.2,40768.5,36629.3,35465.3
