lengthInHours,1,9,50,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,50,10
loadNL,18390,18179,17535,16622,15797,15221,14826,14395,13819,13155,12498,11957,11438,10887,10333,9828,9448,8961,8390,8160
